word,pos_symbol,pos_word,meaning,sentiment score,sentiment
2-anun,NN,noun formative,noun formative affix designating state of being.,0.0,Neutral
2-i-,VB,verbal affix,goal focus affix.,0.0,Neutral
2-ika-,VB,verbal affix,designating possibility of an action to happen.,0.0,Neutral
2-in-,JJ,adjective formative,formative affix to designate manner or state of being.,0.0,Neutral
2-in-…-an,VB,verbal affix,completed action transitive verb affix.,0.0,Neutral
2-ka,RP,particle,designates quantity or amount.,0.0,Neutral
2-ka-,NN,noun formative,noun formative affix used with verbs designating reciprocal relationship.,0.0,Neutral
2-kay,RP,particle,personal name pre-possessive marker.,0.0,Neutral
2-la-,NN,noun formative,noun formative affix when combined with .,0.0,Neutral
2-ma-,JJ,adjective formative,"formative affix attached to nouns, verb or adjective roots.",0.0,Neutral
2-ma-…-un,JJ,adjective formative,formative affix designating state of being.,0.0,Neutral
2-mag-,NN,noun formative,noun formative affix designating reciprocal relationship.,0.0,Neutral
2-mang-,NN,noun formative,noun formative affix designating type of job or profession.,0.0,Neutral
2-pa-,NN,noun formative,noun formative affix used with verbs.,0.0,Neutral
2-pag-,NN,noun formative,noun formative affix when used with verbs.,0.0,Neutral
2-pagka-,NN,noun formative,"noun formative affix designating state of being, manner of being.",0.0,Neutral
2-pang-,NN,noun formative,noun formative affix used to designate something used repeatedly.,0.0,Neutral
3-an,NN,noun formative,noun formative affix designating a container or a place where an action occurs.,0.0,Neutral
3-in-,VB,verbal affix,designating manner of performance or state of being.,0.0,Neutral
3-ka-,JJ,adjective formative,formative affix designating comparative and superlative degrees of comparison.,0.0,Neutral
3-la-,JJ,adjective formative,adjective formative affix.,0.0,Neutral
a,RP,particle,"oh, well, hesitating filler.",-0.077,Negative
ab-ab,VB,verb,to eat,0.0,Neutral
ab-ab,VB,verb,to undermine,-0.296,Negative
ab-ab,VB,verb,to wash away,0.0,Neutral
abad,NN,noun,abbot,0.0,Neutral
abadesa,NN,noun,abbess,0.0,Neutral
abadia,NN,noun,abbey,0.0,Neutral
abaga,NN,noun,( anatomy ) shoulder,0.0,Neutral
abaga,VB,verb,to shoulder something,0.0,Neutral
abága,NN,noun,shoulder.,0.0,Neutral
abaganhan,JJ,adjective,broad - shouldered,0.0,Neutral
abak,VB,verb,to follow in quick succession,0.202,Positive
abak-abak,VB,verb,diminutive of ábak,0.0,Neutral
abak-abak,VB,verb,frequentative of ábak,0.0,Neutral
abaka,NN,noun,"manila hemp , abaca",0.0,Neutral
abakáda,NN,noun,alphabet.,0.0,Neutral
abakahan,NN,noun,someone or something abundant in abaca plants,0.0,Neutral
abakan,NN,noun,a small fish of a reddish color,0.0,Neutral
abalóryo,NN,noun,"rosary beads, strung beads, necklace.",0.0,Neutral
aban,VB,verb,to finish,0.0,Neutral
aban,VB,verb,( of a loom ) to take off,-0.226,Negative
abang,NN,noun,"avarice , greediness",-0.402,Negative
abang,VB,verb,to be within range of a fire,-0.34,Negative
abang-abang,VB,verb,to help or assist,0.402,Positive
abaniko,NN,noun,"folding fan synonyms: kuyab , kuluyab , kuruyab , paypay",0.318,Positive
abaniko,VB,verb,to fan ( cool oneself with a fan ),0.71,Positive
abano,NN,noun,a cigar made by machinery,0.0,Neutral
abansada,JJ,adjective,exposed to the wind,-0.077,Negative
abas,NN,noun,a type of bean,0.0,Neutral
abat,VB,verb,to follow after,0.0,Neutral
abat-abat,VB,verb,diminutive of ábat,0.0,Neutral
abat-abat,VB,verb,frequentative of ábat,0.0,Neutral
abat-abat,VB,verb,to follow closely,0.0,Neutral
abat-abat,VB,verb,living from hand to mouth,0.494,Positive
abáw,UH,interjection,"oh, wow, really.",0.586,Positive
abay,VB,verb,to enter ; join,0.296,Positive
abay,VB,verb,to associate ; mingle,0.0,Neutral
ábay,NN,noun,"of weddings, witness.",0.0,Neutral
abay-abay,VB,verb,diminutive of abáy,0.0,Neutral
abay-abay,VB,verb,frequentative of abáy,0.0,Neutral
abay-abay,VB,verb,to interfere or meddle,0.0,Neutral
abayan,JJ,adjective,( superstition ) liable to fall under an evil spell or magic,-0.66,Negative
abelyana,JJ,adjective,"brown , hazel",0.0,Neutral
abelyana,NN,noun,hazelnut,0.0,Neutral
aberíya,VB,verb,"to have engine trouble, to stop.",-0.599,Negative
abi,RB,adverb,for instance,0.0,Neutral
abi,VB,verb,imagine,0.0,Neutral
abi,VB,verb,think,0.0,Neutral
abi,VB,verb,say aloud,0.0,Neutral
abi-abi,NN,noun,greeting ; salutation,0.382,Positive
abi-abi,VB,verb,to greet ; to salute,0.318,Positive
abian,NN,noun,alternative form of abyan,0.0,Neutral
abian,VB,verb,alternative form of abyan,0.0,Neutral
abiar,VB,verb,to invite,0.153,Positive
abiar,VB,verb,to provision for a journey,0.0,Neutral
abibar,VB,verb,"to urge , encourage , rouse",0.511,Positive
abierto,JJ,adjective,open,0.0,Neutral
abierto,JJ,adjective,accessible,0.0,Neutral
abilay,NN,noun,shawl,0.0,Neutral
abilidad,NN,noun,"ability , capacity",0.318,Positive
abilidad,NN,noun,"talent , mastery",0.421,Positive
abilidad,NN,noun,knowledge,0.0,Neutral
abilidad,NN,noun,dexterity,0.0,Neutral
abiog,VB,verb,"to move to and fro, to swing or rock",0.0,Neutral
abiogan,NN,noun,archaic spelling of abyogan,0.0,Neutral
abir,NN,noun,"assets , property",0.178,Positive
abisar,VB,verb,"to advise , inform , notify",0.0,Neutral
abiso,NN,noun,"notice , information",0.0,Neutral
abiso,VB,verb,"notify , inform",0.0,Neutral
abí’,RP,particle,"let me see, would you please, hey, excuse please.",0.599,Positive
ábi’ábi,VB,verb,"to greet, to shake hands with.",0.153,Positive
ábi’ábi,JJ,adjective,"kind, friendly, civil.",0.765,Positive
ablang,NN,noun,"breadth , width",0.0,Neutral
ablang,VB,verb,"broaden , widen",0.0,Neutral
ablaw,JJ,adjective,"friendly , sociable",0.727,Positive
ablaw,NN,noun,friendliness,0.459,Positive
ablay,NN,noun,shawl,0.0,Neutral
ablay,VB,verb,lean,0.0,Neutral
abo-abo,JJ,adjective,"the color of ash , ashen",0.0,Neutral
abo-abo,VB,verb,diminutive of abó,0.0,Neutral
abo-abohon,JJ,adjective,"ashen , ash -colored, grey , pale",0.052,Positive
abogado,NN,noun,lawyer,0.0,Neutral
abogádo,NN,noun,"lawyer, attorney-at-law.",0.0,Neutral
abohan,NN,noun,fireplace ; hearth,0.0,Neutral
abohan,NN,noun,kitchen synonym: kosina,0.0,Neutral
abohon,JJ,adjective,"ash , grey",0.052,Positive
abohon,JJ,adjective,"ashy , gray",0.0,Neutral
abokado,NN,noun,avocado,0.0,Neutral
abonar,VB,verb,"advance , loan",0.0,Neutral
abong,JJ,adjective,windward,0.0,Neutral
abongho,NN,noun,"anger , exasperation",-0.572,Negative
abongho,NN,noun,angry,-0.511,Negative
abono,NN,noun,"dung , fertilizer , manure",0.0,Neutral
abono,NN,noun,payment for another in advance,0.0,Neutral
aborido,JJ,adjective,"disturbed , uneasy , upset , worried",-0.84,Negative
aborto,NN,noun,abortion,0.0,Neutral
aborto,NN,noun,miscarriage,0.0,Neutral
aborto,NN,noun,monster,0.0,Neutral
aborto,NN,noun,act of stopping,-0.153,Negative
abóso,NN,noun,abuse.,-0.637,Negative
abóso,VB,verb,"to abuse, to take advantage of.",-0.494,Negative
aboy,JJ,adjective,bent ; curved ; warped,0.0,Neutral
aboy,VB,verb,to bend,0.0,Neutral
aboy-aboy,NN,noun,diminutive of abóy,0.0,Neutral
aboy-aboy,NN,noun,"cradle , hammock , swing",0.0,Neutral
abrasita,VB,verb,hug,0.477,Positive
abraso,VB,verb,"hug , embrace",0.66,Positive
abri,VB,verb,"to open (as a window), unlock (as a gate), or turn on (as a stove)",0.0,Neutral
abri,VB,verb,"to begin , commence synonyms: sugod , umpisa",0.0,Neutral
ábri,VB,verb,"to unlock, to unfasten, to open.",0.0,Neutral
abrigana,NN,noun,apéritif,0.0,Neutral
abrigana,NN,noun,appetizer,0.0,Neutral
abrigana,NN,noun,hors d'oeuvre,0.0,Neutral
abrigo,NN,noun,shawl,0.0,Neutral
abríl,NN,noun,april.,0.0,Neutral
abrilatas,NN,noun,can opener,0.0,Neutral
abrisita,VB,verb,alternative spelling of abrasíta,0.0,Neutral
absolusyon,NN,noun,"absolution , acquittal",0.0,Neutral
absuelto,JJ,adjective,absolved,0.361,Positive
absurdo,NN,noun,"absurdity , nonsense",-0.402,Negative
abtan,VB,verb,arrive,0.0,Neutral
abtik,NN,noun,"dexterity , skill",0.0,Neutral
ábtik,JJ,adjective,"active, brisk, lively.",0.735,Positive
abu,NN,noun,ash,0.0,Neutral
abú,NN,noun,ash.,0.0,Neutral
abud,NN,noun,hem,0.0,Neutral
abud,NN,noun,edge,0.0,Neutral
abud,VB,verb,to hem,0.0,Neutral
abuela,NN,noun,grandmother,0.0,Neutral
abuelo,NN,noun,grandfather,0.0,Neutral
abukay,VB,verb,"to rummage , to disturb the surface of",-0.402,Negative
abunda,JJ,adjective,"abundant , plentiful",0.0,Neutral
abung,VB,verb,to intercept ; to stop ; to catch,-0.296,Negative
abúnu,NN,noun,fertilizer.,0.0,Neutral
abúnu,VB,verb,to fertilize.,0.0,Neutral
abusar,NN,noun,"misuse , abuse",-0.637,Negative
abusar,VB,verb,"to misuse or abuse , to take advantage of",-0.494,Negative
abuso,NN,noun,"abuse , impropriety",-0.637,Negative
abuso,VB,verb,"to abuse , beguile , cheat , misuse",-0.802,Negative
abut,VB,verb,to arrive at a place,0.0,Neutral
abut,VB,verb,to catch up with or overtake,0.0,Neutral
abút,VB,verb,"to arrive, to reach, to come to.",0.026,Neutral
abút,JJ,adjective,"cranky, irritable, moody.",-0.681,Negative
abut-abut,VB,verb,frequentative of abút,0.0,Neutral
abut-abut,VB,verb,following in quick succession,0.202,Positive
abut-abut,VB,verb,frequentative of ábut : to come and go,0.0,Neutral
abwa,VB,verb,make,0.0,Neutral
abwa,VB,verb,"gather , collect",0.0,Neutral
abyan,NN,noun,friend ; buddy synonym: amigo,0.494,Positive
abyan,NN,noun,comrade synonym: kahirop,0.0,Neutral
ábyan,NN,noun,"friend, buddy.",0.494,Positive
abyasion,NN,noun,aviation,0.0,Neutral
abyerto,JJ,adjective,alternative form of abiérto,0.0,Neutral
abyog,VB,verb,alternative spelling of ábiog,0.0,Neutral
abyogan,NN,noun,swing ( hanging seat ),0.0,Neutral
ad-adan,NN,noun,"slicer , a frame knife",0.0,Neutral
ada,NN,noun,fairy,0.0,Neutral
adelantado,JJ,adjective,"advanced , modern",0.25,Positive
adelantado,JJ,adjective,progressive,0.0,Neutral
adelpa,NN,noun,oleander,0.0,Neutral
adgaw,NN,noun,a type of tree,0.0,Neutral
adikdik,NN,noun,dandruff,0.0,Neutral
adiong,NN,noun,a large ship or ark,0.0,Neutral
adlaw,NN,noun,( astronomy ) sun,0.0,Neutral
adlaw,NN,noun,( astronomy ) day,0.0,Neutral
adlaw,NN,noun,( time ) daytime antonym: gab-i,0.0,Neutral
ádlaw,NN,noun,"day, birthday, anniversary.",0.0,Neutral
adlawon,NN,noun,full daylight after sunrise is over,0.0,Neutral
ádlaw’ádlaw,RB,adverb,"daily, everyday.",0.0,Neutral
administrasyon,NN,noun,"administration , management",0.0,Neutral
adobi,NN,noun,adobe,0.0,Neutral
adorasyon,NN,noun,worship,0.296,Positive
adorno,NN,noun,"adornment , decoration , embellishment , ornamentation",0.318,Positive
adorno,VB,verb,"to adorn , decorate , embellish , or ornament",0.226,Positive
adtang,NN,noun,the forehead,0.0,Neutral
aduana,NN,noun,customs ( office that taxes imported goods ),0.0,Neutral
aduana,NN,noun,"tax , toll",0.0,Neutral
adudulay,NN,noun,a large earthworm,0.0,Neutral
aga,NN,noun,morning,0.0,Neutral
ága,NN,noun,morning.,0.0,Neutral
aga-aga,JJ,adjective,diminutive of ága : every morning,0.0,Neutral
agalon,NN,noun,"boss , employer , lord , master",0.0,Neutral
agálun,NN,noun,"master, boss.",0.0,Neutral
agao,VB,verb,to seize or take by force,0.0,Neutral
ágaw,VB,verb,"to grab, to seize, to take by force, to usurp.",0.0,Neutral
ágay,VB,verb,"to flow slowly, to drip in small drops.",0.0,Neutral
ágbay,VB,verb,to put one’s arm on or about the shoulder of another person.,0.0,Neutral
agda,VB,verb,to invite,0.153,Positive
ágda,VB,verb,"to ask, to invite.",0.153,Positive
agdayan,JJ,adjective,lazy,-0.361,Negative
agdayan,JJ,adjective,"dull , slow , stupid",-0.727,Negative
aghon,NN,noun,"compass , more specifically a mariner 's compass",0.0,Neutral
ági,NN,noun,"handwriting;  way, means.",0.0,Neutral
ági,VB,verb,"to pass by for something, to pass through.",0.0,Neutral
agi-agi,JJ,adjective,diminutive of agî,0.0,Neutral
agi-agi,JJ,adjective,diminutive of ági,0.0,Neutral
agi-agi,JJ,adjective,"transient , transitory , or passing",0.0,Neutral
agigising,NN,noun,( anatomy ) temple,0.0,Neutral
agila,NN,noun,eagle,0.0,Neutral
aginaldo,NN,noun,christmas present,0.0,Neutral
agí’,NN,noun,hermaphrodite.,0.0,Neutral
agí’,JJ,adjective,"effeminate, sissy.",0.0,Neutral
agogoling,NN,noun,bumblebee,0.0,Neutral
agósto,NN,noun,august.,0.0,Neutral
agrimensór,NN,noun,surveyor.,0.0,Neutral
ágsa,VB,verb,to work another’s field for part of the produce.,0.0,Neutral
ágsa,NN,noun,tenant.,0.0,Neutral
ágsik,VB,verb,"to fly off, to scatter, to spray.",0.0,Neutral
agtang,NN,noun,( anatomy ) forehead,0.0,Neutral
ágtang,NN,noun,forehead.,0.0,Neutral
agúd,CC,conjunction,so that.,0.0,Neutral
águm,VB,verb,"to obtain, to attain, to achieve, to possess.",0.0,Neutral
águm,NN,noun,"possessions, things.",0.0,Neutral
agwa,NN,noun,water synonym: tubig,0.0,Neutral
agwa,NN,noun,"perfume , scent synonym: pahumot",0.0,Neutral
ágwa,NN,noun,"perfume, cologne.",0.0,Neutral
agwanta,VB,verb,"bear , tolerate",0.0,Neutral
agwánta,VB,verb,"to bear, to tolerate, to suffer.",-0.542,Negative
agwatato,NN,noun,pimp,0.0,Neutral
agwatato,NN,noun,procurer ( someone who arranges for prostitution ),0.0,Neutral
ahá’,VB,verb,"to insist, to ask fervently.",0.0,Neutral
ahedres,NN,noun,chess,0.0,Neutral
ahensya,NN,noun,agency,0.0,Neutral
ahensya,NN,noun,pawnshop,0.0,Neutral
ahénsya,NN,noun,pawnshop.,0.0,Neutral
ahénte,NN,noun,agent.,0.0,Neutral
ahiti,NN,noun,leek,0.0,Neutral
ahos,NN,noun,garlic ( allium sativum ),0.0,Neutral
áhos,NN,noun,garlic.,0.0,Neutral
aihada,NN,noun,goddaughter,0.0,Neutral
aihado,NN,noun,godson,0.0,Neutral
akal-akal,VB,verb,to bubble or seethe,0.0,Neutral
akasya,NN,noun,acacia tree,0.0,Neutral
ákig,NN,noun,"anger, hatred.",-0.836,Negative
ákig,VB,verb,"to be angry, to scold.",-0.718,Negative
akú,PRP,pronoun,"i, me (first person singular nominal pronoun).",0.0,Neutral
ákun,PRP,pronoun,"my, mine (first person singular pre-possessive pronoun).",0.0,Neutral
áku’,VB,verb,"to own, to claim, to promise, to swear, to admit.",0.44,Positive
ala-asawa,NN,noun,"concubine , mistress",0.0,Neutral
alabá’ab,JJ,adjective,"of liquid, lukewarm.",0.0,Neutral
alabri,NN,noun,"a key , anything used for the purposes of opening something that is closed",0.0,Neutral
alabuton,JJ,adjective,"cranky , eccentric",0.0,Neutral
alabútun,NN,noun formative,ang tigúlang.,0.0,Neutral
alagad,NN,noun,employee ; follower ; servant,0.0,Neutral
alagad,VB,verb,to wait for someone,0.0,Neutral
alagad,VB,verb,to serve,0.0,Neutral
alágad,NN,noun,adopted person.,0.0,Neutral
alágad,VB,verb,"to adopt, to take care of someone.",0.599,Positive
alagaran,NN,noun,"work , place of employment",0.0,Neutral
aláhas,NN,noun,jewelry.,0.0,Neutral
álak,NN,noun,"hard drink, liquor.",-0.103,Negative
alam,NN,noun,"knowledge , learning",0.0,Neutral
álam,NN,noun,"wisdom, knowledge.",0.527,Positive
álam,JJ,adjective,"bright, smart, brilliant.",0.856,Positive
álam,VB,verb,"to become smart, to become brilliant.",0.758,Positive
alámbre,NN,noun,wire.,0.0,Neutral
alamilaw,VB,verb,to doze,0.0,Neutral
alan,JJ,adjective,rancid,-0.542,Negative
alang-alang,JJ,adjective,"immature , inappropriate , inconvenient , unsuitable",-0.34,Negative
alang-ang,NN,noun,trivial cold ; slight fever,-0.026,Neutral
alangáy,JJ,adjective,"equal, the same.",0.0,Neutral
alangá’ang,NN,noun,slight fever.,0.0,Neutral
alangá’ang,JJ,adjective,"feverish, having a slight temperature.",0.0,Neutral
álang’álang,JJ,adjective,"doubtful, immature.",-0.34,Negative
álang’álang,VB,verb,to hesitate.,-0.273,Negative
alanyon,NN,noun,crop,0.0,Neutral
alás,RP,particle,time particle used with time-telling from dos until dose.,0.0,Neutral
alasohan,NN,noun,chimney,0.0,Neutral
alasoyon,JJ,adjective,stately,0.0,Neutral
alasoyon,JJ,adjective,explainable,0.0,Neutral
alat,NN,noun,basket,0.0,Neutral
alát,NN,noun,native basket made of woven bamboo strips.,0.0,Neutral
álat,NN,noun,saltiness.,0.0,Neutral
álat,JJ,adjective,salty.,0.0,Neutral
álay,VB,verb,to be still through constant tension of the muscles.,-0.318,Negative
alaypan,NN,noun,"asylum , nursery",0.0,Neutral
alaypan hayop,NN,noun,zoo,0.0,Neutral
aláy’ay,VB,verb,"to cradle, to support, to hold arms under some person or thing so as to support.",0.687,Positive
algodon,NN,noun,cotton,0.0,Neutral
alhebra,NN,noun,algebra,0.0,Neutral
alibakaw,NN,noun,betel nut,0.0,Neutral
alibangbang,NN,noun,butterfly,0.0,Neutral
alibángbang,NN,noun,butterfly.,0.0,Neutral
aligi,NN,noun,crab fat,0.0,Neutral
aligútgut,NN,noun,"rage, wrath.",-0.557,Negative
alimángu,NN,noun,crab.,0.0,Neutral
alimokon,NN,noun,pigeon,0.0,Neutral
alimosan,NN,noun,mudskipper,0.0,Neutral
alimpulos,NN,noun,the top of the head,0.202,Positive
alimpulos,NN,noun,"cyclone , eddy",0.0,Neutral
alinga,VB,verb,to watch ; to see over ; to supervise synonym: anila,0.0,Neutral
alíntun,VB,verb,"to transfer, to hand down.",0.494,Positive
alipasa,VB,verb,"hurry , rush",0.0,Neutral
alipúlus,NN,noun,"cyclone, eddy.",0.0,Neutral
alísto,JJ,adjective,"alert, ready, prompt.",0.572,Positive
aliwatan,NN,noun,wrist,0.0,Neutral
alkálde,NN,noun,mayor.,0.0,Neutral
alkánse,NN,noun,loss in terms of money.,-0.318,Negative
alkánse,VB,verb,"to lose some amount due to mismanagement in selling, to fail to gain.",-0.421,Negative
alkánse,NN,noun formative,’alkánse akú sa pagbalígya’.,0.0,Neutral
alkansiya,NN,noun,"money box , piggy bank",0.0,Neutral
alkansíya,NN,noun,"coin bank, empty coconut shell used as a coin bank.",-0.202,Negative
alkitran,NN,noun,"pitch , tar",0.0,Neutral
alkítran,NN,noun,"tar, asphalt.",0.0,Neutral
almanaki,NN,noun,"almanac , calendar",0.0,Neutral
almasín,NN,noun,"store, small market.",0.0,Neutral
almidól,NN,noun,starch.,0.0,Neutral
almidon,NN,noun,starch,0.0,Neutral
almiránte,NN,noun,"of the navy, admiral.",0.318,Positive
almohada,NN,noun,"cushion , pillow",0.0,Neutral
almohadon,NN,noun,a large cushion or pillow,0.0,Neutral
almon,NN,noun,tree,0.0,Neutral
almoranas,NN,noun,( pathology ) hemorrhoid,0.0,Neutral
almoranas,VB,verb,to be afflicted with hemorrhoids,-0.361,Negative
alom,JJ,adjective,"dark , dim",0.0,Neutral
alom,NN,noun,( skin ) a mole,0.0,Neutral
aloy,NN,noun,feign sickness; malinger,0.0,Neutral
alpabéto,NN,noun,alphabet.,0.0,Neutral
alpombra,NN,noun,carpet ; rug,0.0,Neutral
alpómbra,NN,noun,"carpet, rug.",0.0,Neutral
álsa,VB,verb,"to raise, to lift, to elevate slightly.",0.0,Neutral
alugbati,NN,noun,the malabar spinach ( basella alba ),0.0,Neutral
alúm,NN,noun,mole.,0.0,Neutral
alunga-og,JJ,adjective,"( of water ) flat , insipid , stagnant , stale , vapid",-0.459,Negative
alunga-og,JJ,adjective,"( of work ) insufficient , careless , or negligent",-0.361,Negative
alúng’ung,NN,noun,"opinion, idea, thought, knowledge.",0.0,Neutral
aluntaga,NN,noun,the rung or step of a ladder,0.0,Neutral
áman,VB,verb,to prepare.,0.0,Neutral
amapola,NN,noun,poppy,0.0,Neutral
amargóso,NN,noun,bitter melon.,-0.421,Negative
amat,JJ,adjective,"gradual , step-by-step , slow",0.0,Neutral
amat-amat,RB,adverb,"gradually , slowly",0.0,Neutral
amát’amát,RB,adverb,"gradually, little by little.",0.0,Neutral
amát’amát,VB,verb,"to start slowly, to gain speed, to leave one by one.",0.494,Positive
amay,NN,noun,father antonym: iloy,0.0,Neutral
amáy,NN,noun,father.,0.0,Neutral
amaynon,JJ,adjective,paternal,0.0,Neutral
amba,VB,verb,"chant , sing",0.0,Neutral
ámba,NN,noun,"prayer, chant, song.",0.0,Neutral
ámba,VB,verb,"to sing, to pray, to adore.",0.71,Positive
amba sang pispis,NN,noun,warbler,0.0,Neutral
ambahan,NN,noun,"canticle , chant , hymn , song",0.0,Neutral
ámbit,VB,verb,"to participate, to share in.",0.296,Positive
ambulansya,NN,noun,ambulance,0.0,Neutral
ámbung,NN,noun,"radiance, beauty.",0.735,Positive
ámbung,JJ,adjective,"radiant, effulgent, beautiful.",0.791,Positive
amérika,NN,noun,america.,0.0,Neutral
amerikána,NN,noun,"formal coat for men, female american citizen.",0.0,Neutral
amerikáno,NN,noun,american citizen.,0.0,Neutral
ami,NN,noun,second harvest,0.0,Neutral
amidol,NN,noun,starch,0.0,Neutral
amidúl,NN,noun,variant of almidúl.,0.0,Neutral
amígo,NN,noun,"friend, buddy.",0.494,Positive
amihan,NN,noun,north wind,0.0,Neutral
amimíluk,NN,noun,eyelash.,0.0,Neutral
aminhan,NN,noun,north synonym: norte,0.0,Neutral
aminhan,JJ,adjective,northern,0.0,Neutral
aminhan,JJ,adjective,northerly,0.0,Neutral
amínhan,NN,noun,north.,0.0,Neutral
amlig,NN,noun,"care , caution",0.494,Positive
ámlig,VB,verb,"to handle with care, to be, careful.",0.586,Positive
amo,NN,noun,monkey,0.0,Neutral
amog,JJ,adjective,"oversensitive , sensitive , touchy amog nga bata. a very touchy child.",0.0,Neutral
amoma,VB,verb,"regale , treat with food and drink",0.402,Positive
amorokpok,NN,noun,"meteorite , shooting star",0.0,Neutral
amorokpok,NN,noun,bird of prey,0.0,Neutral
amoy,NN,noun,holy man,0.0,Neutral
ampis,NN,noun,skirt,0.0,Neutral
ampo,NN,noun,"prayer , request",0.0,Neutral
ampo,VB,verb,"ask , beseech , beg , petition , pray , request",0.318,Positive
ámpu’,NN,noun,"prayer, pleading.",0.0,Neutral
ámpu’,VB,verb,"to pray, to beseech, to beg, to plead.",0.318,Positive
amú,PRP,pronoun,"it, that.",0.0,Neutral
amú,RB,adverb,similarly.,0.0,Neutral
ámu,NN,noun,"boss, employer, master.",0.0,Neutral
amúma,VB,verb,"to be hospitable, to entertain.",0.318,Positive
amumuklid,NN,noun,toadstool,0.0,Neutral
ámun,PRP,pronoun,"our, ours (first person exclusive plural pre-possessive pronoun).",0.128,Positive
ámut,NN,noun,"subscription, donation, contribution.",0.0,Neutral
ámut,VB,verb,"to contribute, to help by giving something.",0.625,Positive
amú’,NN,noun,monkey.,0.0,Neutral
amyon,NN,noun,"fragrance , scent , smell",0.0,Neutral
ámyun,JJ,adjective,fragrant.,0.0,Neutral
anad,JJ,adjective,usual ; sophisticated ; used to,0.557,Positive
anad,VB,verb,"practice , train",0.0,Neutral
anád,JJ,adjective,"usual, sophisticated, accustomed to.",0.557,Positive
anád,VB,verb,"to be accustomed to, to make familiar through experience.",0.0,Neutral
anak,NN,noun,"child ( a female or male child, a daughter or son ) synonym: bata",0.0,Neutral
anák,NN,noun,child.,0.0,Neutral
anák,VB,verb,"to bear a child, to give birth, to be godparent to a child during baptism or confirmation.",0.0,Neutral
anak nga babae,NN,noun,daughter,0.0,Neutral
anak-anak,NN,noun,"adopted child , foster child",0.0,Neutral
ananay,JJ,adjective,"gentle , mild , soft , slow , noiseless , quiet , tranquil , quietly",0.477,Positive
ánaw,NN,noun,"deluge, great flood.",0.625,Positive
anay,NN,noun,termite,0.0,Neutral
ánay,RP,particle,"please, wait a minute.",0.318,Positive
ánay,NN,noun,termite.,0.0,Neutral
andam,JJ,adjective,"careful , cautious , wary synonyms: tagam , paiway",0.052,Positive
ándam,VB,verb,"to be cautious, to be careful, to beware, to be prepared.",0.273,Positive
