word,definition,language,link,source
ábi,"For instance, for example; to imagine, think, say. Hunâhunáon ta, ábi, nga-. Let us imagine, for example, that-. Kon magmasakít ikáw, ábi, ánhon mo? If you should get sick, say, what would you do? Anó, ábi, ang mahanabû kon-? What do you think will happen, if-? Also used ironically and sarcastically, especially in the phrase: Abi mo? Do you really think so? implying that he who thinks so is quite wrong, very imprudent, foolish, and the like.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abi/,PinoyDictionary-Hiligaynon
abí-ábi,"Greetings, salutations, regards; to greet, salute, shake hands with; to treat or receive hospitably. Ginapadalá ko sa ínyo ang ákon abí-ábi. I send you my regards. Sa íla nga tanán ang ákon pagabí-ábi kag pagtáhud. To all of them I tender my greetings and respect. Abí-abíha siá. Salute him. Shake hands with him. Treat him well or hospitably. (see aláw, tátap, támyaw, támiaw).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abi-abi/,PinoyDictionary-Hiligaynon
ábian,"Friend, comrade; to be friends. Siá maáyo ko gid nga ábian. He is my best friend. Nagaábian silá. They are friends. Magabiánay kamó. Be friends.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abian/,PinoyDictionary-Hiligaynon
abiár,"(Sp. aviar) To provide for a journey, get things ready; to invite, treat to refreshments, etc. Abiahá siá. Provide him with provisions. Invite him. Sín-o ang nagabiár sa ímo? Who invited you? (see pabálon, ágda, hágad, kángay, dápit).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abiar/,PinoyDictionary-Hiligaynon
abibár,"(Sp. avivar) To urge, stimulate, animate, enliven, quicken, rouse. Abibahá siá. Urge him to greater exertions. Rouse or stimulate him. Abibahí ang íla trabáho. Put some liveliness-, animation-, energy-, into their work.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abibar/,PinoyDictionary-Hiligaynon
abierto,"(Sp. abierto) Open, accessible, affording free entrance or passage. Abierto ang bintánà, alágyan, etc. The window is open, the passage is free, etc. (see nabúksan from bukás-to open, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abierto/,PinoyDictionary-Hiligaynon
abíl,"(Sp. hábil) Capable, especially with regard to procreation. Mostly applied to domestic animals.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abil/,PinoyDictionary-Hiligaynon
abíl-abíl,Dim. of abíl. Rather capable.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abil-abil/,PinoyDictionary-Hiligaynon
abíl-abilón,"See abíl-abíl id. Often also used in connection with men of loose morals: Lecher, fornicator, whoremonger; lewd, unchaste, lecherous.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abil-abilon/,PinoyDictionary-Hiligaynon
abilay,"Shawl; to cover the shoulders, (see abláy, abrígo, kúnop).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abilay/,PinoyDictionary-Hiligaynon
abilidád,"(Sp. habilidad) Ability, capacity, expertness, talent, mastery, knowledge, dexterity. Walà siá sing abilidád sa amó nga palangakóan. He has no capacity for such an office, (see kasángkul, álam, kaábtik, takús, tinón-an).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abilidad/,PinoyDictionary-Hiligaynon
ábiog,"To move to and fro, to swing, to rock. See hábiog, hábyog, id.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abiog/,PinoyDictionary-Hiligaynon
abiogán,"A swing. See habiogán, habyogán, halabiogán id.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abiogan/,PinoyDictionary-Hiligaynon
abír,"(Sp. a ver) Let us see. Let us have a try. Hóo, abír, kon makabúhat ka sinâ. Yes, let us see, whether you can do that. (see tan-awón, ta, ipakítà, mo, tilawán, ta, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abir/,PinoyDictionary-Hiligaynon
abír,"(Sp. haber) Property, assets. (see pagkabutáng, mánggad).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abir/,PinoyDictionary-Hiligaynon
abisár,"(Sp. avisar) To advise, send notice, notify, inform. Nagabisár ka sa íya? Did you inform him? Magsálig ka sa ákon, magaabisár gid akó sa íya. Trust me, I will certainly notify him. N. B. Abisár seems to be in use only in the active voice; for the passive abíso is commonly used.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abisar/,PinoyDictionary-Hiligaynon
abíso,"(Sp. aviso) Notice, information; to give notice, to send word, to notify, to inform. Abíso! Notice! Attention! Abisóhi siá sang kamatáyon ni Fuláno. Inform him that N.N. is dead. Paabisóhan mo siá sang pagabút dirí sang íya amáy or ipaabíso mo sa íya nga nagabút dirí ang íya amáy. Send him word (through somebody else) of the arrival here of his father or that his father has arrived here. (see balítà, pahibaló, pasáyod, paálam, paáman, paándam, pamáan, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abiso/,PinoyDictionary-Hiligaynon
abitsuélas,"(Sp. habichuela) French-bean, kidney-beans in general.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abitsuelas/,PinoyDictionary-Hiligaynon
áblang,"(B) Width, breadth, to widen, broaden, to make wide or wider. Sádto ánay makitíd ang dálan, karón nagáblang na. Formerly the road was narrow, now it has widened. Gináblang níla ang plása. They widened the public square. Ginpaáblang níla ang plása. They have had the public square widened. Sogóa ang pánday nga ablangón níya ang lamísa. Order the carpenter to make the table wider. Naablangán akó siníng takúd. This shutter (door, etc.) is too broad for me, or appears to me to be very broad or too broad. (see lápad).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/ablang/,PinoyDictionary-Hiligaynon
áblaw,"(B) Affability, friendliness; sociability; to be or become affable; friendly, sociable. Nagáblaw siá karón. He has become affable or sociable now. Naablawán akó sa íya. He seems to me to be very friendly. Ipakilála ko sa ímo si Fuláno, kay sa waláy duhádúha paga-*ablawán ka gid sa íya. I will introduce N.N. to you, for without doubt you will find him very sociable, agreeable, affable. (see búgno, mabinugnóhon, kaáblaw, kaabláwan, mainabláwon, etc.).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/ablaw/,PinoyDictionary-Hiligaynon
abláy,"(B) Shawl, covering for the shoulders and back; to use or wear a shawl. Tan-awá yanáng babáye nga nagaabláy. Look at that woman wearing a shawl. Pagaablayón ko gid iníng bunáng. I will certainly work this yarn up into a shawl. Iabláy lang iníng hábul, kay mátugnaw. Just use this blanket as a shawl, for it is cold. Ablayí ang bátà, agúd indì mapás-* mo sa matúgnaw nga hángin. Put a shawl around the child, lest it should catch a cold in the chilly air. Paablayí silá. Provide them with shawls. Put some shawls at their disposal, (see abrígo, kúnop).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/ablay/,PinoyDictionary-Hiligaynon
áblay,"To lean-, put one's arm or hand-, on another's shoulder. (see ágbay).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/ablay/,PinoyDictionary-Hiligaynon
abô,"(B) An exclamation denoting aversion, horror, contempt, emphatic denial or negation. Fie! Pshaw! Whew! Pook! Abô, butíg inâ. Pshaw, that's a lie! Abô, índî akó magpáti sinâ. Fie I don't believe that. Abô, pagkamalulúod siníng idô nga patáy kag inúdlan! Pooh what a horrible stench is coming from this dead and wormy dog. (see abá, abáw).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abo/,PinoyDictionary-Hiligaynon
ábo,"A kind of small fish, growing to about six inches in length, and supposed to be very lazy and sleepy; hence its name is often used to describe lazy and sleepy folks that are slow at their work, etc. Dáw ábo siá. He is like an àábo i. e. he is very lazy. Kaábo sa ímo! How lazy you are! Dáw ábo ka gid. You are just like an ábo. Ábo gid ang gwâ ta. The result of our undertaking is, was, or will be a complete failure.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abo/,PinoyDictionary-Hiligaynon
abó,"Ash, ashes; to treat with ash, apply ashes, use ashes; to turn into or become ashes. Abohí ang púsud sang bátà. Treat the baby's navel with ash. Nag-*abó ang ámon baláy sa kaláyo or ginabó sang kaláyo ang ámon balay. The fire burned our house to ashes. Abohán mo ang pínggan kag báso, agúd makúhà ang kadánlug. Clean the plate and glass with ashes, so that the greasy dirt may be removed. Ang abó nga ginpát-in sa áton mga ágtang sa ádlaw nga Miérkoles de Senísa (Ceniza) amó ang abó sang mga pálua (ráamos) nga nabenditáhan sang ádlaw nga Domingo de Rámos. The ashes with which our foreheads are marked on Ash-Wednesday are the ashes of the palms blessed on Palm-Sunday. Dílì mo pag-*ipaabó sa íya iníng mga tulún-an, kay bisán dumáan na may kapuslánan pa. Don't let him burn these books, for, though they are old, they are still of use. (see ágbon).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abo/,PinoyDictionary-Hiligaynon
abó-abo,Dim. of abó. A small ábo or any other fish somewhat resembling an ábo; a litte lazy or indolent.,Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abo-abo/,PinoyDictionary-Hiligaynon
abó-ábo,"Dim. of abó. Of an ash colour, ash-coloured, grey, ashy pale. Ang buút ko kaúnon ang páho nga abó-ábo na. I like to eat mangoes that are ash-coloured i. e. nearly ripe, Ang íya kálò kag sapátos abó-ábo. His hat and boots are grey.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abo-abo/,PinoyDictionary-Hiligaynon
abó-abóhon,"Ash-coloured, ashy pale, gray. (see abó-ábo).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abo-abohon/,PinoyDictionary-Hiligaynon
ábog,"See ábiog, hábiog, hábog id.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abog/,PinoyDictionary-Hiligaynon
abogádo,"(Sp. abogado) Lawyer, attorney-at-law. (see mananábang, manugsákdag).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abogado/,PinoyDictionary-Hiligaynon
abohán,"Fire-place, hearth; kitchen, (see dapóg, digamohán, lulutoán).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abohan/,PinoyDictionary-Hiligaynon
abohón,"Ashy, full of-, covered with-, ashes. Abáw, abohón gid ang ólo mo. Oh, your head is covered with-, full of-, ashes. Ang manók nga abohón amó ang nagítlog. The grey hen is the one that laid the egg.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abohon/,PinoyDictionary-Hiligaynon
abokádo,"A kind of orange-tree. (see kahíl, naranhíta).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abokado/,PinoyDictionary-Hiligaynon
abonár,"(Sp. abonar) To advance, loan, let have-, allow-, on credit. Abonahí akó ánay sing napúlò ka pisos. Advance me ten pesos. Iabonár lang ánay sa ákon iníng mga sapátos. Let me have these boots on credit. Ipaabonár lang sa íya ang íya mga kilinahanglánon. Let him have on credit whatever he needs, (see paútang, pahulám).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abonar/,PinoyDictionary-Hiligaynon
ábong,"On the windward side, not under the lee, open or exposed to the wind; to be or become exposed to the wind, etc. Ang ákon hulút ábong sa amíhan. My room is open to the north wind. Ginaabóngan sang habágat ang ámon kalán-an. Our refectory or dining-room is exposed to the south wind. Sádto ánay nalípdan sang kawáyan ang ákon kwárto, ápang karón, kay natapás na ang kawáyan, nagábong sa hángin. Formerly my room was sheltered behind bamboos, but now that the bamboos are cut down, it has become exposed to the wind, (see ámbi-open to the rain; abansáda).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abong/,PinoyDictionary-Hiligaynon
abóngho,"Anger, exasperation; to be or get angry, exasperated, excited. May abóngho or nagaabóngho si Fuláno. N. N. is angry.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abongho/,PinoyDictionary-Hiligaynon
abóno,"(Sp. abono) Manure, fertilizer; to manure. Abonóhi ang umá. Manure the field. Ipaabóno ko sa ímo ang ákon umá, kon makasugtánay kitá sa nahanungúd sang isóhol ko sa ímo. I'll let you manure my field, if we can come to an agreement as to how much I have to pay you in wages, (see lambón).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/abono/,PinoyDictionary-Hiligaynon
aborído,"(Sp. aburrido) Worried, vexed, uneasy, disturbed, upset; to be-, become-, worried, etc. Tungúd siná ganî nagaborído akó. Just on that account I got upset. Ginpaaborído akó sináng kasábà. That lawsuit worries me. Nagpaaborído siá sa ákon. He vexed or worried me. (see palibúg, palíntong, sang, ólo).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aborido/,PinoyDictionary-Hiligaynon
abórto,"(Sp. abórto) Abortion, miscarriage; monster. (see hár-as).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aborto/,PinoyDictionary-Hiligaynon
abóy,"Bent, curved, warped; to bend, to curve, to warp, kink. Ang mga manuglagarì nagalagárì sang káhoy sonô sang íya abóy. The sawyers are sawing the tree according to its curve. Nagaabóy ang kalát, ang mga soléras, ang bánkò, etc. The rope is kinked, the floor beams are warped, the bench is sagging in the middle, etc. Butangí ang bánkò sing duhá pa ka tiíl sa tungâ, agúd nga indì magabóy. Add two legs to the middle of the bench, so that it may not sag or bend. (see táboy, lúy-on).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aboy/,PinoyDictionary-Hiligaynon
abóy-abóy,"(B) Dim. of abóy: Also A primitive cradle or hammock made of a blanket, an old skirt or the like. Ang bátà nagakatulúg sa abóy-abóy. The baby is sleeping in the make-shift hammock. (see dúyan, duyán-dúyan).",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aboy-aboy/,PinoyDictionary-Hiligaynon
abóyon,"(B) Abóyon without prefix is not in use; paabóyon is employed in the sense of: To accede to one's wish, do one's bidding, let one have his will or way. Paaboyóni siá. Let him have his will. Let him do as he may see fit. Let him please himself. Ipaabóyon ko lang sa ímo iníng mga ságing nga ginapangáyò mo. I'll let you have these bananas you ask for.",Hiligaynon,https://hiligaynon.pinoydictionary.com/word/aboyon/,PinoyDictionary-Hiligaynon
