word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20
2-i-,VB,verbal affix,goal focus affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,1
2-ika-,VB,verbal affix,designating possibility of an action to happen.,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
2-in-,JJ,adjective formative,formative affix to designate manner or state of being.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2-in-…-an,VB,verbal affix,completed action transitive verb affix.,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0
2-ka,RP,particle,designates quantity or amount.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0
2-ka-,NN,noun formative,noun formative affix used with verbs designating reciprocal relationship.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2-kay,RP,particle,personal name pre-possessive marker.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,0
2-la-,NN,noun formative,noun formative affix when combined with .,0,Neutral,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,-1,0,0,0,0
2-ma-,JJ,adjective formative,"formative affix attached to nouns, verb or adjective roots.",0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,0,0,0,0,0,0
2-ma-…-un,JJ,adjective formative,formative affix designating state of being.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0
2-mag-,NN,noun formative,noun formative affix designating reciprocal relationship.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
2-mang-,NN,noun formative,noun formative affix designating type of job or profession.,0,Neutral,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-1,0,0,0,1
2-pa-,NN,noun formative,noun formative affix used with verbs.,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,0,1,0,0
2-pag-,NN,noun formative,noun formative affix when used with verbs.,0,Neutral,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1
2-pagka-,NN,noun formative,"noun formative affix designating state of being, manner of being.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2-pang-,NN,noun formative,noun formative affix used to designate something used repeatedly.,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-an,NN,noun formative,noun formative affix designating a container or a place where an action occurs.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
3-in-,VB,verbal affix,designating manner of performance or state of being.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
3-ka-,JJ,adjective formative,formative affix designating comparative and superlative degrees of comparison.,0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-1,0
3-la-,JJ,adjective formative,adjective formative affix.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0
a,RP,particle,"oh, well, hesitating filler.",-0.077,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
ab-ab,VB,verb,to eat,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0
ab-ab,VB,verb,to undermine,-0.296,Negative,-1,0,-1,-1,-1,0,1,1,1,0,1,-1,0,-1,-1,-1,1,-1,-1,-1,0
ab-ab,VB,verb,to wash away,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abad,NN,noun,abbot,0,Neutral,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
abadesa,NN,noun,abbess,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0
abadia,NN,noun,abbey,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
abaga,NN,noun,( anatomy ) shoulder,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abaga,VB,verb,to shoulder something,0,Neutral,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0
abága,NN,noun,shoulder.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abaganhan,JJ,adjective,broad - shouldered,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,0
abak,VB,verb,to follow in quick succession,0.202,Positive,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1
abak-abak,VB,verb,diminutive of ábak,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
abak-abak,VB,verb,frequentative of ábak,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
abaka,NN,noun,"manila hemp , abaca",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
abakáda,NN,noun,alphabet.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
abakahan,NN,noun,someone or something abundant in abaca plants,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0
abakan,NN,noun,a small fish of a reddish color,0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0
abalóryo,NN,noun,"rosary beads, strung beads, necklace.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aban,VB,verb,to finish,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
aban,VB,verb,( of a loom ) to take off,-0.226,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abang,NN,noun,"avarice , greediness",-0.402,Negative,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1
abang,VB,verb,to be within range of a fire,-0.34,Negative,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
abang-abang,VB,verb,to help or assist,0.402,Positive,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1
abaniko,NN,noun,"folding fan synonyms: kuyab , kuluyab , kuruyab , paypay",0.318,Positive,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
abaniko,VB,verb,to fan ( cool oneself with a fan ),0.71,Positive,1,0,1,1,0,1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1
abano,NN,noun,a cigar made by machinery,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
abansada,JJ,adjective,exposed to the wind,-0.077,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abas,NN,noun,a type of bean,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
abat,VB,verb,to follow after,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,1,0,0,0
abat-abat,VB,verb,diminutive of ábat,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
abat-abat,VB,verb,frequentative of ábat,0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
abat-abat,VB,verb,to follow closely,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abat-abat,VB,verb,living from hand to mouth,0.494,Positive,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abáw,UH,interjection,"oh, wow, really.",0.586,Positive,1,1,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,1,-1,1,1
abay,VB,verb,to enter ; join,0.296,Positive,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1
abay,VB,verb,to associate ; mingle,0,Neutral,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ábay,NN,noun,"of weddings, witness.",0,Neutral,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0
abay-abay,VB,verb,diminutive of abáy,0,Neutral,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0
abay-abay,VB,verb,frequentative of abáy,0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0
abay-abay,VB,verb,to interfere or meddle,0,Neutral,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0
abayan,JJ,adjective,( superstition ) liable to fall under an evil spell or magic,-0.66,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,-1
abelyana,JJ,adjective,"brown , hazel",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
abelyana,NN,noun,hazelnut,0,Neutral,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
aberíya,VB,verb,"to have engine trouble, to stop.",-0.599,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
abi,RB,adverb,for instance,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
abi,VB,verb,imagine,0,Neutral,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
abi,VB,verb,think,0,Neutral,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
abi,VB,verb,say aloud,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
abi-abi,NN,noun,greeting ; salutation,0.382,Positive,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
abi-abi,VB,verb,to greet ; to salute,0.318,Positive,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,1
abian,NN,noun,alternative form of abyan,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
abian,VB,verb,alternative form of abyan,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abiar,VB,verb,to invite,0.153,Positive,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,0,1,1,1,1,1,1
abiar,VB,verb,to provision for a journey,0,Neutral,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
abibar,VB,verb,"to urge , encourage , rouse",0.511,Positive,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,1,1,1
abierto,JJ,adjective,open,0,Neutral,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
abierto,JJ,adjective,accessible,0,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abilay,NN,noun,shawl,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
abilidad,NN,noun,"ability , capacity",0.318,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1
abilidad,NN,noun,"talent , mastery",0.421,Positive,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,0,1,1,1,0,1,1
abilidad,NN,noun,knowledge,0,Neutral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abilidad,NN,noun,dexterity,0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
abiog,VB,verb,"to move to and fro, to swing or rock",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
abiogan,NN,noun,archaic spelling of abyogan,0,Neutral,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,-1,0,1,0,-1
abir,NN,noun,"assets , property",0.178,Positive,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1
abisar,VB,verb,"to advise , inform , notify",0,Neutral,0,1,0,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
abiso,NN,noun,"notice , information",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abiso,VB,verb,"notify , inform",0,Neutral,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0
abí’,RP,particle,"let me see, would you please, hey, excuse please.",0.599,Positive,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
ábi’ábi,VB,verb,"to greet, to shake hands with.",0.153,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ábi’ábi,JJ,adjective,"kind, friendly, civil.",0.765,Positive,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1
ablang,NN,noun,"breadth , width",0,Neutral,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0
ablang,VB,verb,"broaden , widen",0,Neutral,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,1,-1,0
ablaw,JJ,adjective,"friendly , sociable",0.727,Positive,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,-1
ablaw,NN,noun,friendliness,0.459,Positive,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,0,1,1,1
ablay,NN,noun,shawl,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ablay,VB,verb,lean,0,Neutral,0,1,0,0,0,0,1,0,0,0,-1,-1,1,-1,0,0,0,0,0,0,0
abo-abo,JJ,adjective,"the color of ash , ashen",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,1
abo-abo,VB,verb,diminutive of abó,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
abo-abohon,JJ,adjective,"ashen , ash -colored, grey , pale",0.052,Positive,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
abogado,NN,noun,lawyer,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,1,0,0
abogádo,NN,noun,"lawyer, attorney-at-law.",0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0
abohan,NN,noun,fireplace ; hearth,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0
abohan,NN,noun,kitchen synonym: kosina,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abohon,JJ,adjective,"ash , grey",0.052,Positive,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
abohon,JJ,adjective,"ashy , gray",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0
abokado,NN,noun,avocado,0,Neutral,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,-1,0
abonar,VB,verb,"advance , loan",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
abong,JJ,adjective,windward,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abongho,NN,noun,"anger , exasperation",-0.572,Negative,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abongho,NN,noun,angry,-0.511,Negative,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1
abono,NN,noun,"dung , fertilizer , manure",0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
abono,NN,noun,payment for another in advance,0,Neutral,0,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0,0
aborido,JJ,adjective,"disturbed , uneasy , upset , worried",-0.84,Negative,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
aborto,NN,noun,abortion,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
aborto,NN,noun,miscarriage,0,Neutral,0,-1,0,0,-1,0,1,0,0,0,0,0,1,1,0,-1,0,0,0,0,0
aborto,NN,noun,monster,0,Neutral,0,-1,0,0,-1,0,1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0
aborto,NN,noun,act of stopping,-0.153,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1
abóso,NN,noun,abuse.,-0.637,Negative,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
abóso,VB,verb,"to abuse, to take advantage of.",-0.494,Negative,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
aboy,JJ,adjective,bent ; curved ; warped,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0
aboy,VB,verb,to bend,0,Neutral,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,1,0,-1
aboy-aboy,NN,noun,diminutive of abóy,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
aboy-aboy,NN,noun,"cradle , hammock , swing",0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
abrasita,VB,verb,hug,0.477,Positive,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,-1,1
abraso,VB,verb,"hug , embrace",0.66,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abri,VB,verb,"to open (as a window), unlock (as a gate), or turn on (as a stove)",0,Neutral,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,-1,0
abri,VB,verb,"to begin , commence synonyms: sugod , umpisa",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
ábri,VB,verb,"to unlock, to unfasten, to open.",0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
abrigana,NN,noun,apéritif,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
abrigana,NN,noun,appetizer,0,Neutral,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
abrigana,NN,noun,hors d'oeuvre,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abrigo,NN,noun,shawl,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
abríl,NN,noun,april.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,0
abrilatas,NN,noun,can opener,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0
abrisita,VB,verb,alternative spelling of abrasíta,0,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
absolusyon,NN,noun,"absolution , acquittal",0,Neutral,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
absuelto,JJ,adjective,absolved,0.361,Positive,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,-1,1,-1,1
absurdo,NN,noun,"absurdity , nonsense",-0.402,Negative,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abtan,VB,verb,arrive,0,Neutral,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0
