word,POS symbol,POS word,meaning,sentiment score,sentiment
2-anun,NN,noun formative,noun formative affix designating state of being.,0.0,Neutral
2-i-,VB,verbal affix,goal focus affix.,0.0,Neutral
2-ika-,VB,verbal affix,designating possibility of an action to happen.,0.0,Neutral
2-in-,JJ,adjective formative,formative affix to designate manner or state of being.,0.0,Neutral
2-in-…-an,VB,verbal affix,completed action transitive verb affix.,0.0,Neutral
2-ka,RP,particle,designates quantity or amount.,0.0,Neutral
2-ka-,NN,noun formative,noun formative affix used with verbs designating reciprocal relationship.,0.0,Neutral
2-kay,RP,particle,personal name pre-possessive marker.,0.0,Neutral
2-la-,NN,noun formative,noun formative affix when combined with .,0.0,Neutral
2-ma-,JJ,adjective formative,"formative affix attached to nouns, verb or adjective roots.",0.0,Neutral
2-ma-…-un,JJ,adjective formative,formative affix designating state of being.,0.0,Neutral
2-mag-,NN,noun formative,noun formative affix designating reciprocal relationship.,0.0,Neutral
2-mang-,NN,noun formative,noun formative affix designating type of job or profession.,0.0,Neutral
2-pa-,NN,noun formative,noun formative affix used with verbs.,0.0,Neutral
2-pag-,NN,noun formative,noun formative affix when used with verbs.,0.0,Neutral
2-pagka-,NN,noun formative,"noun formative affix designating state of being, manner of being.",0.0,Neutral
2-pang-,NN,noun formative,noun formative affix used to designate something used repeatedly.,0.0,Neutral
3-an,NN,noun formative,noun formative affix designating a container or a place where an action occurs.,0.0,Neutral
3-in-,VB,verbal affix,designating manner of performance or state of being.,0.0,Neutral
3-ka-,JJ,adjective formative,formative affix designating comparative and superlative degrees of comparison.,0.0,Neutral
3-la-,JJ,adjective formative,adjective formative affix.,0.0,Neutral
a,RP,particle,"oh, well, hesitating filler.",-0.077,Negative
a-a,DT,determiner,"alternative form of aa.
1883, clarence e. dutton, fourth annual report of the united states geological survey:
the second form of the lavas is called by the natives a-a, and its contrast with pahoehoe is about the greatest imaginable. it consists mainly of clinkers sometimes detached, sometimes partially agglutinated together with a bristling array of sharp, jagged, angular fragments.",0.758,Positive
ab-ab,VB,verb,to eat,0.0,Neutral
aba,DT,determiner,(international standards) iso 639-3 language code for abé.,0.0,Neutral
aba,NN,noun,(international standards) iso 639-3 language code for abé.,0.0,Neutral
aba,VB,verb,(international standards) iso 639-3 language code for abé.,0.0,Neutral
aba-a,DT,determiner,oh,0.0,Neutral
abaa,DT,determiner,"(archaic, british slang) contemptible; vile; silly.",-0.765,Negative
abad,NN,noun,"well-furnished, well-equipped, well-organized, comfortable",0.511,Positive
abadesa,NN,noun,abbess,0.0,Neutral
abadia,NN,noun,"abbey
synonym: abade-etxe",0.0,Neutral
abaga,NN,noun,(anatomy) shoulder,0.0,Neutral
abaga,VB,verb,(anatomy) shoulder,0.0,Neutral
abága,NN,noun,shoulder.,0.0,Neutral
abaganhan,JJ,adjective,broad-shouldered,0.0,Neutral
abak,VB,verb,abacus,0.0,Neutral
abak-abak,VB,verb,diminutive of ábak,0.0,Neutral
abaka,NN,noun,alternative spelling of abaca.,0.0,Neutral
abakáda,NN,noun,alphabet.,0.0,Neutral
abakahan,NN,noun,someone or something abundant in abaca plants,0.0,Neutral
abakan,NN,noun,a small fish of a reddish color,0.0,Neutral
abalóryo,NN,noun,"rosary beads, strung beads, necklace.",0.0,Neutral
aban,VB,verb,one,0.0,Neutral
abang,JJ,adjective,window (opening for light and air),0.0,Neutral
abang,VB,verb,window (opening for light and air),0.0,Neutral
abang-abang,VB,verb,"midnight horror (oroxylum indicum, a tree where its leaves are used as a plaster in treating boils and other swollen body parts)",-0.572,Negative
abaniko,NN,noun,"hand fan
synonyms: kayab, kabkab, pamaypay, yapyap",0.67,Positive
abaniko,VB,verb,"hand fan
synonyms: kayab, kabkab, pamaypay, yapyap",0.67,Positive
abano,NN,noun,a havana cigar,0.0,Neutral
abansada,JJ,adjective,exposed to the wind,-0.077,Negative
abao,DT,determiner,"(biscayan) honeycomb
synonym: abaraska",0.0,Neutral
abas,NN,noun,a cutaneous disease; the scald-head. porrigo,0.0,Neutral
abat,VB,verb,abbot (superior of an abbey),0.542,Positive
abat-abat,VB,verb,diminutive of ábat,0.0,Neutral
abáw,UH,interjection,"oh, wow, really.",0.586,Positive
abay,VB,verb,(obsolete) barking or baying of dogs at their prey. [attested from around (1150 to 1350) until the late 17th century.][1],-0.296,Negative
ábay,NN,noun,"of weddings, witness.",0.0,Neutral
abay-abay,VB,verb,diminutive of abáy,0.0,Neutral
abayan,JJ,adjective,(anatomy) waist,0.0,Neutral
abelyana,JJ,adjective,"brown, hazel",0.0,Neutral
abelyana,NN,noun,"brown, hazel",0.0,Neutral
aberíya,VB,verb,"to have engine trouble, to stop.",-0.599,Negative
abi,JJ,adjective,(international standards) iso 639-3 language code for abidji.,0.0,Neutral
abi,VB,verb,(international standards) iso 639-3 language code for abidji.,0.0,Neutral
abi-abi,NN,noun,greeting; salutation,0.382,Positive
abi-abi,VB,verb,greeting; salutation,0.382,Positive
abian,NN,noun,"underway, running",0.0,Neutral
abian,VB,verb,"underway, running",0.0,Neutral
abiar,VB,verb,to invite,0.153,Positive
abibar,VB,verb,"to urge, encourage, rouse",0.511,Positive
abierto,JJ,adjective,neuter of abiertu,0.0,Neutral
abilay,NN,noun,beef jerky,0.0,Neutral
abilidad,NN,noun,ability; capability,0.318,Positive
abiog,VB,verb,"to move to and fro, to swing or rock",0.0,Neutral
abiogan,NN,noun,archaic spelling of abyogan,0.0,Neutral
abir,NN,noun,"(india) an aromatic red powder that is used during the holi festival.[1]
synonym: gulal",0.0,Neutral
abisar,VB,verb,"to advise, inform, notify",0.0,Neutral
abiso,NN,noun,"advisory; announcement; notice; warning
synonym: pahibalo",-0.34,Negative
abiso,VB,verb,"advisory; announcement; notice; warning
synonym: pahibalo",-0.34,Negative
abí’,RP,particle,"let me see, would you please, hey, excuse please.",0.599,Positive
ábi’ábi,VB,verb,"to greet, to shake hands with.",0.153,Positive
ábi’ábi,JJ,adjective,"kind, friendly, civil.",0.765,Positive
ablang,NN,noun,"breadth, width",0.0,Neutral
ablang,VB,verb,"breadth, width",0.0,Neutral
ablaw,JJ,adjective,"friendly, sociable",0.727,Positive
ablaw,NN,noun,"friendly, sociable",0.727,Positive
ablay,NN,noun,shawl,0.0,Neutral
ablay,VB,verb,shawl,0.0,Neutral
abo,JJ,adjective,(international standards) iso 639-3 language code for abon.,0.0,Neutral
abo,DT,determiner,(international standards) iso 639-3 language code for abon.,0.0,Neutral
abo,NN,noun,(international standards) iso 639-3 language code for abon.,0.0,Neutral
abo,VB,verb,(international standards) iso 639-3 language code for abon.,0.0,Neutral
abo-abo,JJ,adjective,"the color of ash, ashen",0.0,Neutral
abo-abo,VB,verb,"the color of ash, ashen",0.0,Neutral
abo-abohon,JJ,adjective,"ashen, ash-colored, grey, pale",0.052,Positive
abogado,NN,noun,counsel; advisor; councilor; barrister.,0.0,Neutral
abogádo,NN,noun,"lawyer, attorney-at-law.",0.0,Neutral
abohan,NN,noun,a dirty kitchen,-0.44,Negative
abohon,JJ,adjective,the color grey,0.052,Positive
abokado,NN,noun,avocado,0.0,Neutral
abonar,VB,verb,"to accredit, to make (someone) appear good",0.44,Positive
abong,JJ,adjective,(anatomy) top of head,0.202,Positive
abongho,NN,noun,"anger, exasperation",-0.572,Negative
abono,NN,noun,second-person singular imperative of abonoj,0.0,Neutral
aborido,JJ,adjective,"disturbed, uneasy, upset, worried",-0.84,Negative
aborto,NN,noun,"abortion, miscarriage",0.0,Neutral
abóso,NN,noun,abuse.,-0.637,Negative
abóso,VB,verb,"to abuse, to take advantage of.",-0.494,Negative
aboy,JJ,adjective,"spouse
synonyms: asawa, abuyan
kang aboy ― my spouse",0.0,Neutral
aboy,VB,verb,"spouse
synonyms: asawa, abuyan
kang aboy ― my spouse",0.0,Neutral
aboy-aboy,NN,noun,diminutive of abóy,0.0,Neutral
abrasita,VB,verb,hug,0.477,Positive
abraso,VB,verb,first-person singular present indicative of abrasar,0.0,Neutral
abri,VB,verb,(geology) a shelter; a cavity in a hillside; a shelter on the side of hill with an overhung rock as its roof[1] [first attested in the early 19th century.][2],0.0,Neutral
ábri,VB,verb,"to unlock, to unfasten, to open.",0.0,Neutral
abrigana,NN,noun,apéritif,0.0,Neutral
abrigo,NN,noun,"(southern) overcoat
synonym: beroki",0.0,Neutral
abríl,NN,noun,april.,0.0,Neutral
abrilatas,NN,noun,can opener,0.0,Neutral
abrisita,VB,verb,alternative spelling of abrasíta,0.0,Neutral
absolusyon,NN,noun,(law) acquittal,0.0,Neutral
absuelto,JJ,adjective,absolved,0.361,Positive
absurdo,NN,noun,"absurd
synonym: zentzugabe",0.0,Neutral
abtan,VB,verb,arrive,0.0,Neutral
abtik,NN,noun,a quick movement of feet or hands; a flourish (dramatic gesture),0.0,Neutral
ábtik,JJ,adjective,"active, brisk, lively.",0.735,Positive
abu,NN,noun,(international standards) iso 639-3 language code for abure.,0.0,Neutral
abú,NN,noun,ash.,0.0,Neutral
abud,NN,noun,"(rare) budding
1923, julie m. lippmann, dreamland:[…]  he began to whistle merrily, and in an instant the whole world about him was bright of hue and joyous again, and looking, he saw, to his amazement, that the bare branches were abud.",0.931,Positive
abud,VB,verb,"(rare) budding
1923, julie m. lippmann, dreamland:[…]  he began to whistle merrily, and in an instant the whole world about him was bright of hue and joyous again, and looking, he saw, to his amazement, that the bare branches were abud.",0.931,Positive
abuela,NN,noun,"a hispanic grandmother.
2022 february 17, diane scholfield, “letters to the editor: is ‘gringo’ offensive? that’s up to the person being called one”, in los angeles times‎[1], los angeles, calif.: los angeles times communications, →issn, →oclc, archived from the original on 17 february 2022:i, an abuela-aged woman of northern european ancestry, have lived within 50 miles of the mexican border most of my life. mexican culture is part of my life as much as any of my dna cultures, if not more, and i love it all.
2022 june 22, mia moretti, as told to margaret rhodes, “mia moretti’s weekend of wine and baja clams in valle de guadalupe”, in the strategist‎[2], new york, n.y.: new york media, →issn, →oclc, archived from the original on 22 june 2022:8 a.m. wake up early for breakfast at an abuela’s house
2022 july 14, mike gonzalez, “democrats are in denial about why they are losing hispanic voters”, in new york post‎[3], new york, n.y.: news corp, →issn, →oclc, archived from the original on 14 july 2022:[l]ook no further than this week’s surreal exchange between sen. josh hawley and a berkeley law professor insisting that men can and do get pregnant. yes, that happened, in a senate hearing. you say that to an abuela, and the most likely response will be “que?” followed by a quick “adios!”
2024 april 3, frank rojas, “‘carefluencers’ are helping older loved ones, and posting about it”, in the new york times‎[4], new york, n.y.: the new york times company, →issn, →oclc, archived from the original on 3 april 2024:on the east side of san jose, calif., there is an abuela who seems to have more grandchildren than she can count.",0.92,Positive
abuelo,NN,noun,"(zamboangueño) grandfather
synonyms: (caviteño) lolo, (ternateño) agüelo",0.0,Neutral
abukay,VB,verb,red-vented cockatoo (cacatua haematuropygia),0.0,Neutral
abunda,JJ,adjective,"inflection of abundar:
third-person singular present indicative
second-person singular imperative",0.0,Neutral
abung,VB,verb,to intercept; to stop; to catch,-0.296,Negative
abúnu,NN,noun,fertilizer.,0.0,Neutral
abúnu,VB,verb,to fertilize.,0.0,Neutral
abusar,NN,noun,"(intransitive, abusar de) to abuse (use improperly)",-0.637,Negative
abusar,VB,verb,"(intransitive, abusar de) to abuse (use improperly)",-0.637,Negative
abuso,NN,noun,abuse,-0.637,Negative
abuso,VB,verb,abuse,-0.637,Negative
abut,VB,verb,"(intransitive) to touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land) [first attested around 1350 to 1470.][3]
it was a time when germany still abutted upon russia.
his land abuts on the road.",0.0,Neutral
abút,VB,verb,"to arrive, to reach, to come to.",0.026,Neutral
abút,JJ,adjective,"cranky, irritable, moody.",-0.681,Negative
abut-abut,VB,verb,frequentative of abút,0.0,Neutral
abwa,VB,verb,make,0.0,Neutral
abyan,NN,noun,"companion
synonym: kauban",0.0,Neutral
ábyan,NN,noun,"friend, buddy.",0.494,Positive
abyasion,NN,noun,aviation,0.0,Neutral
abyerto,JJ,adjective,open; not closed,0.0,Neutral
abyog,VB,verb,"to swing, oscillate",0.0,Neutral
abyogan,NN,noun,swing (hanging seat),0.0,Neutral
ad-adan,NN,noun,"slicer, a frame knife",0.0,Neutral
ada,NN,noun,(international standards) iso 639-2 & iso 639-3 language code for adangme.,0.0,Neutral
adelantado,JJ,adjective,"(historical) a title bestowed by the king on certain nobles in the 15th-17th centuries, who granted them governorship of a province or charged them with conquering a foreign territory
1838, william h[ickling] prescott, history of the reign of ferdinand and isabella, the catholic. […], volume (please specify |volume=i to iii), boston, mass.: american stationers’ company; john b. russell, →oclc:the grand master […] communicated it to the principal chiefs on the borders ; among others , to don pedro henriquez , adelantado of andalusia , don juan de silva , count of cifuentes , don alonso de aguilar , and the marquis of cadiz .",0.765,Positive
adelpa,NN,noun,nerium oleander; the only species in the genus nerium; an evergreen shrub or small tree in the dogbane family apocynaceae,0.0,Neutral
adgaw,NN,noun,"a small hairy tree, premna odorata",0.0,Neutral
adikdik,NN,noun,dandruff,0.0,Neutral
adiong,NN,noun,a large ship or ark,0.0,Neutral
adios,DT,determiner,"(in spanish contexts) goodbye
synonyms: addio, adieu, aloha, arrivederci, auf wiedersehen, au revoir, bye, bye-bye, cheerio, cheers, ciao, farewell, good-by, good-bye, goodbye, good day, sayonara, shalom, ayubowan, so long, do svidanya",0.802,Positive
adlaw,NN,noun,sun,0.0,Neutral
ádlaw,NN,noun,"day, birthday, anniversary.",0.0,Neutral
adlawon,NN,noun,full daylight after sunrise is over,0.0,Neutral
ádlaw’ádlaw,RB,adverb,"daily, everyday.",0.0,Neutral
administrasyon,NN,noun,"administration, management",0.0,Neutral
adobi,NN,noun,"inflection of adobar:
first/third-person singular present subjunctive
third-person singular imperative",0.0,Neutral
adorasyon,NN,noun,worship,0.296,Positive
adorno,NN,noun,"a clay ornament attached to a piece of pottery, usually at the rim.
1999, clarence bloomfield moore, jeffrey m. mitchem, the west and central florida expeditions of clarence bloomfield moore, page 25:willey (1949:324) suggested that this mound probably dates to late weeden island times, though the bird head rim adorno (luer 1992a:54, figure id; moore 1903:figure 63) might indicate a safety harbor component.",0.421,Positive
adorno,VB,verb,"a clay ornament attached to a piece of pottery, usually at the rim.
1999, clarence bloomfield moore, jeffrey m. mitchem, the west and central florida expeditions of clarence bloomfield moore, page 25:willey (1949:324) suggested that this mound probably dates to late weeden island times, though the bird head rim adorno (luer 1992a:54, figure id; moore 1903:figure 63) might indicate a safety harbor component.",0.421,Positive
adtang,NN,noun,the forehead,0.0,Neutral
adto,PRP,pronoun,to go there (to a place far from both the speaker and listener),0.0,Neutral
aduana,NN,noun,"inflection of aduanar:
third-person singular present indicative
second-person singular imperative",0.0,Neutral
adudulay,NN,noun,a large earthworm,0.0,Neutral
aga,NN,noun,(international standards) iso 639-3 language code for aguano.,0.0,Neutral
ága,NN,noun,morning.,0.0,Neutral
aga-aga,JJ,adjective,diminutive of ága: every morning,0.0,Neutral
agalon,NN,noun,(dated) a person who oversees and directs the work of others; a boss; a supervisor; a manager,0.0,Neutral
agálun,NN,noun,"master, boss.",0.0,Neutral
agao,VB,verb,to seize or take by force,0.0,Neutral
ágaw,VB,verb,"to grab, to seize, to take by force, to usurp.",0.0,Neutral
ágay,VB,verb,"to flow slowly, to drip in small drops.",0.0,Neutral
ágbay,VB,verb,to put one’s arm on or about the shoulder of another person.,0.0,Neutral
agda,VB,verb,"to invite
synonyms: alok, imbitar, kombida",0.153,Positive
ágda,VB,verb,"to ask, to invite.",0.153,Positive
agdayan,JJ,adjective,lazy,-0.361,Negative
aghon,NN,noun,h-system spelling of aĝon,0.0,Neutral
agi,JJ,adjective,(international standards) iso 639-3 language code for agariya.,0.0,Neutral
agi,NN,noun,(international standards) iso 639-3 language code for agariya.,0.0,Neutral
agi,VB,verb,(international standards) iso 639-3 language code for agariya.,0.0,Neutral
ági,NN,noun,"handwriting;  way, means.",0.0,Neutral
ági,VB,verb,"to pass by for something, to pass through.",0.0,Neutral
agi-agi,JJ,adjective,"story
synonym: istoriya",0.0,Neutral
agigising,NN,noun,"(anatomy) temple
the fine hairs on the temple
synonyms: dungandungan, tampihak",0.202,Positive
agila,NN,noun,eagle,0.0,Neutral
aginaldo,NN,noun,christmas present,0.0,Neutral
agí’,NN,noun,hermaphrodite.,0.0,Neutral
agí’,JJ,adjective,"effeminate, sissy.",0.0,Neutral
agogoling,NN,noun,bumblebee,0.0,Neutral
agósto,NN,noun,august.,0.0,Neutral
agrimensór,NN,noun,surveyor.,0.0,Neutral
ágsa,VB,verb,to work another’s field for part of the produce.,0.0,Neutral
ágsa,NN,noun,tenant.,0.0,Neutral
ágsik,VB,verb,"to fly off, to scatter, to spray.",0.0,Neutral
agtang,NN,noun,the forehead; the part of the face above the eyebrows and below the hairline,0.0,Neutral
ágtang,NN,noun,forehead.,0.0,Neutral
agúd,CC,conjunction,so that.,0.0,Neutral
águm,VB,verb,"to obtain, to attain, to achieve, to possess.",0.0,Neutral
águm,NN,noun,"possessions, things.",0.0,Neutral
agwa,NN,noun,"water (only used in set expressions)
synonym: tubig",0.0,Neutral
ágwa,NN,noun,"perfume, cologne.",0.0,Neutral
agwanta,VB,verb,to endure; to put up with; to tolerate,0.0,Neutral
agwánta,VB,verb,"to bear, to tolerate, to suffer.",-0.542,Negative
agwatato,NN,noun,pimp,0.0,Neutral
ahay,DT,determiner,"an expression of anger, annoyance, disbelief, and/or displeasure, sometimes equivalent to the english come on and oh man",-0.718,Negative
ahá’,VB,verb,"to insist, to ask fervently.",0.0,Neutral
ahedres,NN,noun,"(dated) chess
synonym: tses",0.0,Neutral
ahensya,NN,noun,alternative form of ahensiya,0.0,Neutral
ahénsya,NN,noun,pawnshop.,0.0,Neutral
ahénte,NN,noun,agent.,0.0,Neutral
ahiti,NN,noun,leek,0.0,Neutral
ahos,NN,noun,"garlic (allium sativum); a plant related to the onion, having a pungent bulb much used in cooking
synonym: lasuna",0.0,Neutral
áhos,NN,noun,garlic.,0.0,Neutral
aihada,NN,noun,goddaughter,0.0,Neutral
aihado,NN,noun,godson,0.0,Neutral
akal-akal,VB,verb,to bubble or seethe,0.0,Neutral
akasya,NN,noun,acacia tree,0.0,Neutral
ákig,NN,noun,"anger, hatred.",-0.836,Negative
ákig,VB,verb,"to be angry, to scold.",-0.718,Negative
ako,PRP,pronoun,(international standards) iso 639-3 language code for akurio.,0.0,Neutral
akú,PRP,pronoun,"i, me (first person singular nominal pronoun).",0.0,Neutral
ákun,PRP,pronoun,"my, mine (first person singular pre-possessive pronoun).",0.0,Neutral
áku’,VB,verb,"to own, to claim, to promise, to swear, to admit.",0.44,Positive
ala-asawa,NN,noun,"concubine, mistress",0.0,Neutral
alabá’ab,JJ,adjective,"of liquid, lukewarm.",0.0,Neutral
alabri,NN,noun,"a key, anything used for the purposes of opening something that is closed",0.0,Neutral
alabuton,JJ,adjective,"cranky, eccentric",0.0,Neutral
alabútun,NN,noun formative,ang tigúlang.,0.0,Neutral
alagad,NN,noun,"but; however; yet
synonyms: pero, ugaring",0.0,Neutral
alagad,VB,verb,"but; however; yet
synonyms: pero, ugaring",0.0,Neutral
alágad,NN,noun,adopted person.,0.0,Neutral
alágad,VB,verb,"to adopt, to take care of someone.",0.599,Positive
alagaran,NN,noun,third-person plural pluperfect indicative of alagar,0.0,Neutral
aláhas,NN,noun,jewelry.,0.0,Neutral
álak,NN,noun,"hard drink, liquor.",-0.103,Negative
alam,NN,noun,"inferior, something or someone that is of a lower standing",-0.599,Negative
álam,NN,noun,"wisdom, knowledge.",0.527,Positive
álam,JJ,adjective,"bright, smart, brilliant.",0.856,Positive
álam,VB,verb,"to become smart, to become brilliant.",0.758,Positive
alámbre,NN,noun,wire.,0.0,Neutral
alamilaw,VB,verb,to doze,0.0,Neutral
alan,JJ,adjective,alternative form of alaunt.,0.0,Neutral
alang-alang,JJ,adjective,"immature, inappropriate, inconvenient, unsuitable",-0.34,Negative
alang-ang,NN,noun,trivial cold; slight fever,-0.026,Neutral
alangáy,JJ,adjective,"equal, the same.",0.0,Neutral
alangá’ang,NN,noun,slight fever.,0.0,Neutral
alangá’ang,JJ,adjective,"feverish, having a slight temperature.",0.0,Neutral
álang’álang,JJ,adjective,"doubtful, immature.",-0.34,Negative
álang’álang,VB,verb,to hesitate.,-0.273,Negative
alanyon,NN,noun,crop,0.0,Neutral
alás,RP,particle,time particle used with time-telling from dos until dose.,0.0,Neutral
alasohan,NN,noun,chimney,0.0,Neutral
alasoyon,JJ,adjective,stately,0.0,Neutral
alat,NN,noun,nonstandard form of halat,0.0,Neutral
alát,NN,noun,native basket made of woven bamboo strips.,0.0,Neutral
álat,NN,noun,saltiness.,0.0,Neutral
álat,JJ,adjective,salty.,0.0,Neutral
álay,VB,verb,to be still through constant tension of the muscles.,-0.318,Negative
alaypan,NN,noun,"asylum, nursery",0.0,Neutral
alaypan hayop,NN,noun,zoo,0.0,Neutral
aláy’ay,VB,verb,"to cradle, to support, to hold arms under some person or thing so as to support.",0.687,Positive
algodon,NN,noun,"cotton
synonym: gapas",0.0,Neutral
alhebra,NN,noun,algebra,0.0,Neutral
alibakaw,NN,noun,betel nut,0.0,Neutral
alibangbang,NN,noun,"(naga) dragonfly
synonym: atibagros",0.0,Neutral
alibángbang,NN,noun,butterfly.,0.0,Neutral
aligi,NN,noun,crab fat,0.0,Neutral
aligútgut,NN,noun,"rage, wrath.",-0.557,Negative
alimángu,NN,noun,crab.,0.0,Neutral
alimokon,NN,noun,pigeon,0.0,Neutral
alimosan,NN,noun,mudskipper,0.0,Neutral
alimpulos,NN,noun,a whirlwind; a tornado; a dust devil; a waterspout,-0.66,Negative
alinga,VB,verb,"to watch; to see over; to supervise
synonym: anila",0.0,Neutral
alíntun,VB,verb,"to transfer, to hand down.",0.494,Positive
alipasa,VB,verb,"hurry, rush",0.0,Neutral
alipúlus,NN,noun,"cyclone, eddy.",0.0,Neutral
alísto,JJ,adjective,"alert, ready, prompt.",0.572,Positive
aliwatan,NN,noun,wrist,0.0,Neutral
alkálde,NN,noun,mayor.,0.0,Neutral
alkánse,NN,noun,loss in terms of money.,-0.318,Negative
alkánse,VB,verb,"to lose some amount due to mismanagement in selling, to fail to gain.",-0.421,Negative
alkánse,NN,noun formative,’alkánse akú sa pagbalígya’.,0.0,Neutral
alkansiya,NN,noun,piggy bank,0.0,Neutral
alkansíya,NN,noun,"coin bank, empty coconut shell used as a coin bank.",-0.202,Negative
alkitran,NN,noun,pitch,0.0,Neutral
alkítran,NN,noun,"tar, asphalt.",0.0,Neutral
almanaki,NN,noun,"almanac, calendar",0.0,Neutral
almasín,NN,noun,"store, small market.",0.0,Neutral
almidól,NN,noun,starch.,0.0,Neutral
almidon,NN,noun,starch,0.0,Neutral
almiránte,NN,noun,"of the navy, admiral.",0.318,Positive
almohada,NN,noun,"cushion, pillow",0.0,Neutral
almohadon,NN,noun,a large cushion or pillow,0.0,Neutral
almon,NN,noun,nowhere,0.0,Neutral
almoranas,NN,noun,(pathology) hemorrhoid,0.0,Neutral
almoranas,VB,verb,(pathology) hemorrhoid,0.0,Neutral
alom,JJ,adjective,"a tree, melanolepsis multiglandulosa",0.0,Neutral
alom,NN,noun,"a tree, melanolepsis multiglandulosa",0.0,Neutral
aloy,NN,noun,termite,0.0,Neutral
alpabéto,NN,noun,alphabet.,0.0,Neutral
alpombra,NN,noun,"carpet
synonym: karpet",0.0,Neutral
alpómbra,NN,noun,"carpet, rug.",0.0,Neutral
álsa,VB,verb,"to raise, to lift, to elevate slightly.",0.0,Neutral
alugbati,NN,noun,the malabar spinach (basella alba),0.0,Neutral
alúm,NN,noun,mole.,0.0,Neutral
alunga-og,JJ,adjective,"(of water) flat, insipid, stagnant, stale, vapid",-0.459,Negative
alúng’ung,NN,noun,"opinion, idea, thought, knowledge.",0.0,Neutral
aluntaga,NN,noun,the rung or step of a ladder,0.0,Neutral
áman,VB,verb,to prepare.,0.0,Neutral
amapola,NN,noun,a poppy; any plant of the genus papaver,0.0,Neutral
amargóso,NN,noun,bitter melon.,-0.421,Negative
amat,JJ,adjective,definite nominative/accusative plural of amë,0.273,Positive
amat-amat,JJ,adjective,"gradually; slowly
synonym: malway-malway",0.0,Neutral
amát’amát,RB,adverb,"gradually, little by little.",0.0,Neutral
amát’amát,VB,verb,"to start slowly, to gain speed, to leave one by one.",0.494,Positive
amay,NN,noun,"(transitive and intransitive, obsolete) to dismay; confound; be dismayed",-0.784,Negative
amáy,NN,noun,father.,0.0,Neutral
amaynon,JJ,adjective,paternal,0.0,Neutral
amba,VB,verb,"a characteristic landform in ethiopia: a steep-sided, flat-topped mountain, often the site of a settlement.",0.0,Neutral
ámba,NN,noun,"prayer, chant, song.",0.0,Neutral
ámba,VB,verb,"to sing, to pray, to adore.",0.71,Positive
