word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20
alúm,NN,noun,mole.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0
amidol,NN,noun,starch,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amo,NN,noun,monkey,0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0
amorokpok,NN,noun,bird of prey,0.0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
ananay,JJ,adjective,"gentle , mild , soft , slow , noiseless , quiet , tranquil , quietly",0.477,Positive,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0
ángkab,VB,verb,"of animals, to snap, to bite, to seize with teeth so as to grip or bite.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ánud,VB,verb,"to drift, to flow with the current.",0.0,Neutral,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,0,0
apinas,JJ,adjective,"difficult , scarce , trying",-0.361,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
aplá’ag,VB,verb,"to spread, to break and scatter.",0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,0,0,0,0
apú,NN,noun,grandchild.,0.0,Neutral,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
arítus,NN,noun,earring.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
arí’arí,JJ,adjective,stunted in growth.,0.382,Positive,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
ármas,NN,noun,"weapon, arms.",-0.296,Negative,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
asoy,JJ,adjective,useful,0.44,Positive,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,1
atsára,NN,noun,pickled green papaya.,0.0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,1,0,0
atubang,VB,verb,to confront ; to face,-0.178,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
awa,NN,noun,"compassion , mercy , pity",0.511,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1
awtopsiya,NN,noun,autopsy,0.0,Neutral,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,1,0,0,0,1
ba-og,JJ,adjective,"gray , grey",0.052,Positive,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,-1,-1,1
babana,NN,noun,soursop,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bagting,NN,noun,"chime , ring , toll",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bágyu,NN,noun,"rainstorm, typhoon, hurricane.",0.0,Neutral,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
bahaw,JJ,adjective,( of food ) cold,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0
bahúg,VB,verb,"of animals, to feed swine, or any animal; of people, to eat mixed foods simultaneously.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0
baláybay,NN,noun,"verse, recitation, rhyme, poetry.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
balíbad,VB,verb,"to find an excuse, to give a reason, to refuse.",-0.226,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
balihawog,NN,noun,"bolt , latch",0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0
balunggay,NN,noun,"a type of tree , the malunggay or horseradish tree , moringa oleifera",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
bánda,NN,noun,"cord or strip of material serving chiefly for decoration, a music band or group of musicians organized for playing together.",0.202,Positive,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
bandehado,NN,noun,platter,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bangis,NN,noun,violence synonym: kahas,-0.625,Negative,-1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1
bánhaw,VB,verb,"to resurrect, to rise from the dead.",-0.649,Negative,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
bánta’,NN,noun,"guess, opinion, supposition, estimate.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
barnis,NN,noun,"lacquer , varnish",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
báskit,NN,noun,basket.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
baskug,NN,noun,"strength synonyms: bakud , kusug",0.494,Positive,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
basol,VB,verb,to chide ; to scold,-0.402,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
baston,NN,noun,stick,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0
bátak,VB,verb,"to pull upward, to raise.",0.0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0
batakan,NN,noun,"crane , pulley",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
batás,NN,noun,endurance.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batobalani,NN,noun,magnet,0.0,Neutral,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0
baug,JJ,adjective,barren,0.0,Neutral,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0
bay-ad,NN,noun,a type of seashell,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
báylu,VB,verb,"to exchange, to substitute, to swap.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0
bayo-bayo,NN,noun,pulse,0.0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0,0
bendita,VB,verb,( transitive ) bless,0.421,Positive,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
beteráno,NN,noun,veteran.,0.0,Neutral,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,1,1,0,0,0,0
bikoláno,NN,noun,"language spoken principally in albay, camarines sur, catanduanes, sorsogon, the southern half of camarines norte, and in some towns of masbate.",0.0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bilánggu,NN,noun,prisoner.,-0.542,Negative,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,1,-1,-1,-1
bílin,NN,noun,"request, last words.",0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0
binata,JJ,adjective,immature,0.0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
biskwit,NN,noun,biscuit,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
bitú’un,NN,noun,star.,0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0
bodéga,NN,noun,"warehouse, storage, cellar.",0.0,Neutral,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0
bokbok,NN,noun,a type of boring insect,-0.318,Negative,-1,0,-1,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
botélya,NN,noun,bottle.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
bugál,VB,verb,"to be proud, to show off.",0.477,Positive,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,1
bugalon,VB,verb,to be or become proud,0.477,Positive,1,1,1,1,-1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,-1
búgnu’,VB,verb,"to greet, to speak to, to interact with.",0.318,Positive,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1
bugsay,NN,noun,"oar , paddle",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
búgsay,VB,verb,"to row, to strike the water with an oar.",-0.128,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,0,-1
buhaha,JJ,adjective,"heedless , lavish , prodigal , wasteful",0.0,Neutral,0,0,0,0,-1,0,0,0,1,-1,0,1,0,-1,-1,1,0,0,0,0,0
bukidnon,JJ,adjective,"coarse , rough , uncultured , uncouth",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buláhan,JJ,adjective,"fortunate, lucky.",0.691,Positive,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
búlak,NN,noun,"flower, blossom, cotton fibers.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bulbul,NN,noun,down ( soft hair of the face when beginning to appear ),0.0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buling,VB,verb,"stain , soil , dirty",-0.44,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
buluhatan,NN,noun,workshop,0.0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bululngan,NN,noun,"clinic , hospital , medical center",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0
bumulutho,NN,noun,"schoolboy , schoolgirl , student",0.0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
búndul,JJ,adjective,"slow, tardy.",0.0,Neutral,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
bunggo,VB,verb,shove or throw with force,0.0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
bungúl,NN,noun,deaf.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
burus,NN,noun,blister,0.0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1
busal,NN,noun,"bridle , muzzle",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
busál,NN,noun,"of dogs, mouth cover to prevent biting.",0.026,Neutral,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0
busúng,JJ,adjective,"pregnant, with child.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bús’ak,VB,verb,"to chop wood, to chop wood for firewood.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
butáng,NN,noun,"thing, object.",0.0,Neutral,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0
búthu’,VB,verb,"to go to school, to study, to learn.",0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0
bútyag,VB,verb,"to tell others, to disclose, to let out a secret.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
byérnes,NN,noun,friday.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dabádabá,VB,verb,"to flare up, to blaze, to be on fire.",-0.34,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,0,-1
dahon-dahon,NN,noun,"mantis , praying mantis",0.361,Positive,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dalága,NN,noun,"unmarried girl, between the age of about fifteen to thirty.",0.0,Neutral,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0
daldal,VB,verb,"( of wind, waves ) push , impel",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dáldal,VB,verb,"to backbite, to spread false malicious talk, to talk against.",0.0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
dalum,JJ,adjective,"( of thoughts ) deep , profound , insightful",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
dalunggan,NN,noun,( anatomy ) ear,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
damán,NN,noun,nightmare.,0.0,Neutral,0,-1,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
dámhag,VB,verb,"to fall headlong, to fall on one’s face.",0.0,Neutral,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
damúg,NN,noun,"of pigs, food.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dáplus,VB,verb,"to slide off, to stray.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
daut,VB,verb,to spoil,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dayan,NN,noun,"stroll , walk synonym: lagaw",0.0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0
delárgo,NN,noun,long pants for men.,0.0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
desyémbre,NN,noun,december.,0.0,Neutral,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0
díkta,VB,verb,"to dictate, nagdíkta ang ma’éstra sa kláse.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dinamita,NN,noun,dynamite,0.178,Positive,1,0,1,1,0,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1
dorado,NN,noun,gilt,0.0,Neutral,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,-1
dugang,VB,verb,to add or increase in number,0.382,Positive,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,-1,1
dugú’,VB,verb,to bleed.,0.0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
dukú’,VB,verb,"to bow, to stoop down.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dúla’,VB,verb,"to lose, to miss, to mislay.",-0.511,Negative,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
dulunggan,NN,noun,ear,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0
dumagsa,VB,verb,flourish,0.0,Neutral,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
dunoton,VB,verb,crush,-0.153,Negative,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1
dupak,NN,noun,"bad language, obscene words",-0.807,Negative,-1,-1,-1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
dúyu,JJ,adjective,"dejected, sad.",-0.743,Negative,-1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
dyús,NN,noun,"god, the almighty.",0.273,Positive,1,0,1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ebanghélyo,NN,noun,"gospel, epistle.",0.0,Neutral,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0
emperador,NN,noun,emperor,0.0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
enhenyéro,NN,noun,engineer.,0.0,Neutral,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eskuwela,VB,verb,to go to school ; to attend school,0.0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
espíritu,NN,noun,"soul, spirit, ghost.",-0.153,Negative,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
galyetas,NN,noun,"cracker , hardtack , biscuit",0.0,Neutral,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1
gál’um,JJ,adjective,cloudy.,0.0,Neutral,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1
gánsa,NN,noun,goose.,0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
gantángan,NN,noun,wooden measuring box with a volume content of approximately one ganta or three liters.,0.0,Neutral,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ganyat,VB,verb,"attract , entice , seduce",0.361,Positive,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
géra,VB,verb,to declare or fight a war.,-0.758,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1
gihápun,RB,adverb,always.,0.0,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0
ginamús,NN,noun,native fish sauce made out of marinated fish.,0.0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0
gísi’,VB,verb,"to tear, to slit with a sharp instrument, to split, to break asunder.",0.0,Neutral,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,1,0,0,-1,0,0
governadór,NN,noun,governor.,0.0,Neutral,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
gútrab,VB,verb,to chop or cut off with a knife or a pair of scissors.,-0.273,Negative,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hagumhum,VB,verb,to rumble or boom,0.0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
haláy,VB,verb,"to drape, to hang to dry.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0
hamún,NN,noun,"ham, cured meat.",0.0,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
háplak,VB,verb,"to fall flat on the ground, to lay flat.",0.0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
hápu’,VB,verb,"to be tired, to be exhausted.",-0.66,Negative,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1
harána,VB,verb,"to serenade, to sing to a lady with intentions of courtship.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,0,0
harúthut,VB,verb,"to sew in big stitches, to patch.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiláw,JJ,adjective,"raw, unripe, fresh.",0.318,Positive,1,1,1,1,0,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,0
hímbis,NN,noun,fish scales.,0.0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hinablos,NN,noun,nephew ; niece,0.0,Neutral,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hinali,JJ,adjective,sudden,0.0,Neutral,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
hinganíban,NN,noun,weapon.,-0.296,Negative,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,0,-1
hísa,NN,noun,"envy, jealousy.",-0.527,Negative,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
híwa’,NN,noun,"chunck, sliced piece, one slice.",0.0,Neutral,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
hubág,NN,noun,"swelling, boil.",0.0,Neutral,0,0,0,0,1,-1,0,0,-1,0,0,0,1,-1,-1,0,0,0,0,0,0
húblas,VB,verb,"to strip off, to take off.",0.0,Neutral,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0
hubog,JJ,adjective,drunk ; intoxicated synonym: balong,-0.34,Negative,-1,-1,-1,-1,1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
hugák,JJ,adjective,loose.,-0.318,Negative,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,1,-1,-1,0,-1
húlag,VB,verb,"to move, to stir, to get busy.",0.0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0
húlas,NN,noun,"perspiration, moisture.",0.0,Neutral,0,0,0,0,1,-1,0,0,0,1,0,-1,0,0,0,0,0,-1,0,0,0
huramúl,JJ,adjective,damp.,0.0,Neutral,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0
hurínghúring,VB,verb,"to be rumored, to be spread as news.",0.0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
igú’,VB,verb,"to fit, to accommodate.",0.361,Positive,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
