word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20,MODE,Comparison
atop,NN,noun,roof synonym: bubongan,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,TRUE
atsára,NN,noun,pickled green papaya.,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,TRUE
atubang,VB,verb,to confront ; to face,-0.178,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,TRUE
baak,JJ,adjective,"crushed , broken",-0.71,Negative,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
babayi,NN,noun,alternative form of babaye,0,Neutral,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,-1,0,1,0,TRUE
babáyi,NN,noun,"female, woman.",0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,TRUE
bábuy,NN,noun,"pig, pork.",0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,TRUE
bágid,VB,verb,"to rub together, to strike together.",-0.128,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
bagnas,JJ,adjective,unripe,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,TRUE
bagtis,NN,noun,mudfish,0,Neutral,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,TRUE
bahaw,JJ,adjective,( of food ) cold,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,TRUE
bahoy,VB,verb,to enchant or cast a spell upon someone,0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
bahúl,JJ,adjective,"coarse, loose or rough texture.",-0.318,Negative,-1,0,-1,0,0,0,-1,0,0,1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,FALSE
bakasyón,NN,noun,"vacation, leisure trip.",0,Neutral,0,1,1,0,0,0,-1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,FALSE
balaanon,JJ,adjective,"happy , beatific",0.758,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,TRUE
balahibo,NN,noun,feathers synonym: balukag,0,Neutral,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,TRUE
balasubas,JJ,adjective,"( money ) broke , short of cash",-0.421,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,TRUE
baldado,JJ,adjective,"crippled , handicapped , maimed",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,TRUE
báldi,NN,noun,"bucket, pail.",0,Neutral,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,1,-1,0,0,TRUE
bálhin,VB,verb,"to change, to exchange.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,-1,0,TRUE
balíbad,VB,verb,"to find an excuse, to give a reason, to refuse.",-0.226,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,TRUE
balidha,NN,noun,law ; legislation,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,TRUE
balík,VB,verb,"to come back, to return, to retrace one’s steps.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,TRUE
balisbisan,NN,noun,eaves,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,TRUE
bangis,NN,noun,violence synonym: kahas,-0.625,Negative,-1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,TRUE
bantay,NN,noun,guard synonym: gwardya,0,Neutral,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,FALSE
banwa,NN,noun,citizenry ; inhabitant,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
barato,JJ,adjective,cheap ; inexpensive antonym: mahal,0,Neutral,0,-1,0,-1,0,-1,0,-1,1,1,0,-1,-1,1,1,-1,-1,0,0,0,0,-1,FALSE
barína,NN,noun,awl.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,TRUE
barit,VB,verb,to sharpen,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,TRUE
barútu,NN,noun,"canoe, a native canoe made from carved trunks of trees.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
básta,CC,conjunction,"because, provided, as long as, if, just, i said so.",0,Neutral,0,0,0,0,0,0,1,0,1,0,0,0,1,-1,0,0,0,1,0,0,0,0,TRUE
bátak,VB,verb,"to pull upward, to raise.",0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,TRUE
báta’,NN,noun,"child, baby, young girl or boy usually below the age of ten years old.",0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
batinggílan,JJ,adjective,"flirt, loose in morality.",-0.318,Negative,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,TRUE
baw-ing,JJ,adjective,"( places ) deserted , desolate , isolated , far away, lonely , secluded",-0.586,Negative,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
baylíhan,NN,noun,dancehall.,0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-1,0,1,0,0,TRUE
belada sa eskwelahan,NN,noun,commencement,0,Neutral,0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,1,0,0,0,0,0,0,TRUE
bendisyon,VB,verb,to bless,0.421,Positive,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,TRUE
bendita,VB,verb,( transitive ) bless,0.421,Positive,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,TRUE
berde,JJ,adjective,greenish,0,Neutral,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,TRUE
bíbliya,NN,noun,bible.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
bíhag,NN,noun,"captive, hostage.",0,Neutral,0,-1,0,-1,-1,-1,0,0,0,0,-1,-1,-1,1,0,0,1,1,0,-1,-1,-1,FALSE
bilanggo,VB,verb,"imprison , incarcerate , confine",0,Neutral,0,-1,-1,1,-1,-1,-1,0,1,0,1,1,-1,1,-1,-1,-1,1,0,-1,1,-1,FALSE
binágun,NN,noun,native machete.,0,Neutral,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,TRUE
binhi,NN,noun,grain synonym: lamigas,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,TRUE
bitay,VB,verb,"hang , suspend",-0.318,Negative,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,TRUE
bórda,VB,verb,to embroider.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,TRUE
búdhi’,VB,verb,"to betray, to be faithless, to be disloyal.",-0.735,Negative,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,TRUE
bug-os,JJ,adjective,"complete , whole",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,TRUE
bugál,JJ,adjective,"plentiful, abundant.",0,Neutral,0,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
bugas,VB,verb,to hull rice,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,TRUE
búgras,VB,verb,"of string, to break off, to snap off.",0,Neutral,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
bugto,VB,verb,"break , disconnect",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
buhok,NN,noun,alternative spelling of bohók,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
bulak,NN,noun,"blossom , flower",0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,TRUE
bulak,VB,verb,"blossom , flower",0,Neutral,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,FALSE
bunít,VB,verb,"to hook, to fish, to angle.",0,Neutral,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
bunút,NN,noun,"coconut husk, scrub made from coconut husk.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
bunú’,VB,verb,"to stab with a sharp instrument, to pierce.",-0.586,Negative,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
búnyag,VB,verb,"to sprinkle, to water plants‚ to baptize.",0,Neutral,0,1,1,1,-1,0,-1,-1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,FALSE
burnil,VB,verb,to polish ; to shine,0,Neutral,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,TRUE
burus,NN,noun,blister,0,Neutral,0,1,0,1,-1,-1,-1,0,1,-1,-1,0,-1,-1,0,-1,-1,1,-1,0,-1,-1,FALSE
búsul,NN,noun,seed.,0,Neutral,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,TRUE
busúng,VB,verb,to be pregnant.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
buto,NN,noun,( anatomy ) penis,0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
búya,NN,noun,"bribe, fix.",-0.202,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,TRUE
buyánbuyań,VB,verb,"to neglect, to be nonchalant, to be unconcerned.",-0.599,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,TRUE
dahon,NN,noun,"frond , leaf ( part of a plant )",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,TRUE
dahú’,VB,verb,"to receive, to accept, to take form.",0.382,Positive,1,0,1,1,0,0,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,1,TRUE
dakbánwa,NN,noun,city.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,TRUE
daláwat,VB,verb,"to buy cereal, especially rice or corn.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
dalo,VB,verb,"to caress , to fondle",0,Neutral,0,0,1,1,1,-1,0,-1,-1,0,1,1,1,0,1,1,1,-1,0,1,0,1,FALSE
dalok,NN,noun,glutton,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,TRUE
damgo,NN,noun,dream,0.25,Positive,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,TRUE
danaw,NN,noun,"pool , puddle",0,Neutral,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,TRUE
dangat,VB,verb,to win,0.586,Positive,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
dángat,VB,verb,"to reach, to acquire, to get at, to secure, to take hold of.",0.361,Positive,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,TRUE
dapa-dapa,NN,noun,sole,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,TRUE
dápat,VB,verb,"to be necessary, to be fit, to apply, to use.",0.361,Positive,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,-1,-1,1,1,1,TRUE
dayok,NN,noun,a preparation of salted fish,0,Neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
dimalas,JJ,adjective,unlucky ; unfortunate,-0.459,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,TRUE
direktór,NN,noun,director.,0,Neutral,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,TRUE
dis-og,VB,verb,"jostle , push",0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
diwál,VB,verb,"to let the tongue hang out like a dog, to stick the tongue out.",0.361,Positive,1,0,1,1,-1,0,-1,1,1,1,0,1,1,1,1,1,0,-1,1,1,1,1,TRUE
domínggo,NN,noun,sunday.,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,-1,0,0,0,0,TRUE
duag,NN,noun,"appearance , form , shape",0,Neutral,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
dúguk,VB,verb,"to join, to take part in.",0.296,Positive,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,-1,1,0,0,1,1,TRUE
dugús,NN,noun,honey.,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,-1,-1,0,TRUE
dula,VB,verb,"to mislay , to lose , to mislay",-0.402,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,TRUE
dúlhug,VB,verb,"to descend down a slope, to slide down an inclined plane or a slope.",0,Neutral,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,1,1,0,0,0,-1,0,0,0,TRUE
dulogan,NN,noun,stationary,0,Neutral,0,0,0,0,-1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
dulum,VB,verb,to darken ; to turn dark,0,Neutral,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
dulúm,JJ,adjective,"dark, dim.",0,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,TRUE
dumalagsa,NN,noun,emigrant,0,Neutral,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,TRUE
dumar,VB,verb,"tame , train",0,Neutral,0,0,0,0,0,0,1,0,1,0,-1,0,1,-1,0,-1,0,0,0,0,0,0,TRUE
dúmdum,VB,verb,"to think, to recollect, to remember, to bear in mind, to recall.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TRUE
dúngka’,VB,verb,"to land, to arrive as a boat, to dock in port.",0,Neutral,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,0,0,0,0,0,0,0,0,TRUE
dúyu,JJ,adjective,"dejected, sad.",-0.743,Negative,-1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,TRUE
dyanitor,NN,noun,janitor,0,Neutral,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE
enhenyéro,NN,noun,engineer.,0,Neutral,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
eskandalo,NN,noun,scandal,-0.44,Negative,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,TRUE
eskuwela,VB,verb,to go to school ; to attend school,0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,TRUE
estánte,NN,noun,"shelf, bookcase.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,TRUE
frankiyo,NN,noun,postage,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
fresa,NN,noun,strawberry,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
fuersa,NN,noun,"force , strength , vigor",0.649,Positive,1,0,1,1,0,0,1,1,1,1,1,0,1,1,-1,1,1,-1,0,1,1,1,TRUE
gábut,VB,verb,"to pull out, to weed, to extract, to uproot.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,TRUE
gahúm,NN,noun,"power, authority, precedence.",0.077,Positive,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
galingan,NN,noun,grinder,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,TRUE
galingán,NN,noun,"grinder, mill.",0,Neutral,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,1,0,-1,0,0,0,0,0,TRUE
gamo,NN,noun,"confusion , disorder . excitement , noise",-0.178,Negative,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
gamot,NN,noun,root,0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
ganghá’an,NN,noun,"gate, entrance, door.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,TRUE
gatas,NN,noun,milk,0,Neutral,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,TRUE
gíd,RP,particle,"very, extremely, most, intensifier.",0,Neutral,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,-1,0,0,-1,0,TRUE
ginsugoran,JJ,adjective,elementary,0,Neutral,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,TRUE
grábe,JJ,adjective,"grave, serious.",-0.44,Negative,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,TRUE
grása,NN,noun,grease.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TRUE
grípo,NN,noun,faucet.,0,Neutral,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,TRUE
gub-on,VB,verb,disrupt,0,Neutral,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,-1,FALSE
gúbat,VB,verb,"to wage a war, to declare war.",-0.832,Negative,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,0,-1,-1,TRUE
gúlang,NN,noun,"age, maturity.",0,Neutral,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
