word,POS symbol,POS word,meaning
abi,JJ,adjective,(international standards) iso 639-3 language code for abidji.
amat-amat,JJ,adjective,"gradually; slowly
synonym: malway-malway"
asunto,JJ,adjective,"home, residence; unit, housing unit, dwelling unit; dwelling, domicile, habitation (any place for living, especially one constructed for that purpose)
synonym: asumus
near-synonym: koti"
basi,JJ,adjective,stale
bisan,JJ,adjective,"although; though; even though; even if
synonym: maskin"
buas,JJ,adjective,tomorrow
busa,JJ,adjective,"consequently; hence; as a result; therefore, for this reason; ergo"
daan,JJ,adjective,"(now rare) old (already used)
synonyms: luma, antigo
antonym: bago"
dali,JJ,adjective,"a timber tree (genus myristica) of guiana, whose wood is used for staves etc."
diin,JJ,adjective,"your (singular)
1903, robert walser, der teich:aber chani de wüsse, was i dim härz isch?but can i really know what's in your heart?"
dira,JJ,adjective,"the arabian cubit, whose value varied by place, time, and item from about 25–75 cm (10 in–2 ft 5½ in).
1888, w.m.f. petrie, encyclopaedia britannica, 9th ed., vol. xxiv, ""weights and measures"", p. 490:
13·3—this measure does not seem to belong to very early times, and it may probably have originated in asia minor... and it may well be the origin of the dirá‘ stambuli of 26·6, twice 13·3."
dungan,JJ,adjective,"simultaneous; coinciding
synonym: sabay-sabay"
gihapon,JJ,adjective,"always, as, always, usually"
gilayon,JJ,adjective,"again
synonym: liwat"
indi,JJ,adjective,"now
nə vaxt gedək yanına? i̇ndi yoxsa sonra?when shall we go visit him/her? now or later?"
karon,JJ,adjective,"now
antonym: unya"
ngaa,JJ,adjective,cloud
subong,JJ,adjective,now
sulud,JJ,adjective,nominative plural of sulg
upod,JJ,adjective,"too, also, as well as
synonyms: pud, usab, sab, sad"
apang,JJ,adjective,but
bisan,JJ,adjective,"although; though; even though; even if
synonym: maskin"
buot,JJ,adjective,to rub
kag,JJ,adjective,(international standards) iso 639-3 language code for kajaman.
iya,DT,determiner,(international standards) iso 639-3 language code for iyayu.
a-a,DT,determiner,"alternative form of aa.
1883, clarence e. dutton, fourth annual report of the united states geological survey:
the second form of the lavas is called by the natives a-a, and its contrast with pahoehoe is about the greatest imaginable. it consists mainly of clinkers sometimes detached, sometimes partially agglutinated together with a bristling array of sharp, jagged, angular fragments."
aba,DT,determiner,(international standards) iso 639-3 language code for abé.
aba-a,DT,determiner,oh
abaa,DT,determiner,"(archaic, british slang) contemptible; vile; silly."
abao,DT,determiner,"(biscayan) honeycomb
synonym: abaraska"
abo,DT,determiner,(international standards) iso 639-3 language code for abon.
adios,DT,determiner,"(in spanish contexts) goodbye
synonyms: addio, adieu, aloha, arrivederci, auf wiedersehen, au revoir, bye, bye-bye, cheerio, cheers, ciao, farewell, good-by, good-bye, goodbye, good day, sayonara, shalom, ayubowan, so long, do svidanya"
ahay,DT,determiner,"an expression of anger, annoyance, disbelief, and/or displeasure, sometimes equivalent to the english come on and oh man"
hinugay,DT,determiner,stop
indi,DT,determiner,"now
nə vaxt gedək yanına? i̇ndi yoxsa sonra?when shall we go visit him/her? now or later?"
itot,DT,determiner,to have sexual intercourse with someone
maayong aga,DT,determiner,good morning!
maayong hapon,DT,determiner,good afternoon! (from 1pm to 5:59pm)
paalam,DT,determiner,causative of álam
salamat gid,DT,determiner,thank you very much!
uy,DT,determiner,expression of surprise
yawa,DT,determiner,"(theology) devil
synonym: diyablo"
aba,NN,noun,(international standards) iso 639-3 language code for abé.
abad,NN,noun,"well-furnished, well-equipped, well-organized, comfortable"
abadesa,NN,noun,abbess
abadia,NN,noun,"abbey
synonym: abade-etxe"
abaga,NN,noun,(anatomy) shoulder
abaka,NN,noun,alternative spelling of abaca.
abakahan,NN,noun,someone or something abundant in abaca plants
abakan,NN,noun,a small fish of a reddish color
abaniko,NN,noun,"hand fan
synonyms: kayab, kabkab, pamaypay, yapyap"
abano,NN,noun,a havana cigar
abas,NN,noun,a cutaneous disease; the scald-head. porrigo
abelyana,NN,noun,"brown, hazel"
abi-abi,NN,noun,greeting; salutation
abian,NN,noun,"underway, running"
abilay,NN,noun,beef jerky
abilidad,NN,noun,ability; capability
abiogan,NN,noun,archaic spelling of abyogan
abir,NN,noun,"(india) an aromatic red powder that is used during the holi festival.[1]
synonym: gulal"
abiso,NN,noun,"advisory; announcement; notice; warning
synonym: pahibalo"
ablang,NN,noun,"breadth, width"
ablaw,NN,noun,"friendly, sociable"
ablay,NN,noun,shawl
abo,NN,noun,(international standards) iso 639-3 language code for abon.
abogado,NN,noun,counsel; advisor; councilor; barrister.
abohan,NN,noun,a dirty kitchen
abokado,NN,noun,avocado
abono,NN,noun,second-person singular imperative of abonoj
abongho,NN,noun,"anger, exasperation"
aborto,NN,noun,"abortion, miscarriage"
aboy-aboy,NN,noun,diminutive of abóy
abrigana,NN,noun,apéritif
abrigo,NN,noun,"(southern) overcoat
synonym: beroki"
abrilatas,NN,noun,can opener
absolusyon,NN,noun,(law) acquittal
absurdo,NN,noun,"absurd
synonym: zentzugabe"
abtik,NN,noun,a quick movement of feet or hands; a flourish (dramatic gesture)
abu,NN,noun,(international standards) iso 639-3 language code for abure.
abud,NN,noun,"(rare) budding
1923, julie m. lippmann, dreamland:[…]  he began to whistle merrily, and in an instant the whole world about him was bright of hue and joyous again, and looking, he saw, to his amazement, that the bare branches were abud."
abuela,NN,noun,"a hispanic grandmother.
2022 february 17, diane scholfield, “letters to the editor: is ‘gringo’ offensive? that’s up to the person being called one”, in los angeles times‎[1], los angeles, calif.: los angeles times communications, →issn, →oclc, archived from the original on 17 february 2022:i, an abuela-aged woman of northern european ancestry, have lived within 50 miles of the mexican border most of my life. mexican culture is part of my life as much as any of my dna cultures, if not more, and i love it all.
2022 june 22, mia moretti, as told to margaret rhodes, “mia moretti’s weekend of wine and baja clams in valle de guadalupe”, in the strategist‎[2], new york, n.y.: new york media, →issn, →oclc, archived from the original on 22 june 2022:8 a.m. wake up early for breakfast at an abuela’s house
2022 july 14, mike gonzalez, “democrats are in denial about why they are losing hispanic voters”, in new york post‎[3], new york, n.y.: news corp, →issn, →oclc, archived from the original on 14 july 2022:[l]ook no further than this week’s surreal exchange between sen. josh hawley and a berkeley law professor insisting that men can and do get pregnant. yes, that happened, in a senate hearing. you say that to an abuela, and the most likely response will be “que?” followed by a quick “adios!”
2024 april 3, frank rojas, “‘carefluencers’ are helping older loved ones, and posting about it”, in the new york times‎[4], new york, n.y.: the new york times company, →issn, →oclc, archived from the original on 3 april 2024:on the east side of san jose, calif., there is an abuela who seems to have more grandchildren than she can count."
abuelo,NN,noun,"(zamboangueño) grandfather
synonyms: (caviteño) lolo, (ternateño) agüelo"
abusar,NN,noun,"(intransitive, abusar de) to abuse (use improperly)"
abuso,NN,noun,abuse
abyan,NN,noun,"companion
synonym: kauban"
abyasion,NN,noun,aviation
abyogan,NN,noun,swing (hanging seat)
ad-adan,NN,noun,"slicer, a frame knife"
ada,NN,noun,(international standards) iso 639-2 & iso 639-3 language code for adangme.
adelpa,NN,noun,nerium oleander; the only species in the genus nerium; an evergreen shrub or small tree in the dogbane family apocynaceae
adgaw,NN,noun,"a small hairy tree, premna odorata"
adikdik,NN,noun,dandruff
adiong,NN,noun,a large ship or ark
adlaw,NN,noun,sun
adlawon,NN,noun,full daylight after sunrise is over
administrasyon,NN,noun,"administration, management"
adobi,NN,noun,"inflection of adobar:
first/third-person singular present subjunctive
third-person singular imperative"
adorasyon,NN,noun,worship
adorno,NN,noun,"a clay ornament attached to a piece of pottery, usually at the rim.
1999, clarence bloomfield moore, jeffrey m. mitchem, the west and central florida expeditions of clarence bloomfield moore, page 25:willey (1949:324) suggested that this mound probably dates to late weeden island times, though the bird head rim adorno (luer 1992a:54, figure id; moore 1903:figure 63) might indicate a safety harbor component."
adtang,NN,noun,the forehead
aduana,NN,noun,"inflection of aduanar:
third-person singular present indicative
second-person singular imperative"
adudulay,NN,noun,a large earthworm
aga,NN,noun,(international standards) iso 639-3 language code for aguano.
agalon,NN,noun,(dated) a person who oversees and directs the work of others; a boss; a supervisor; a manager
aghon,NN,noun,h-system spelling of aĝon
agi,NN,noun,(international standards) iso 639-3 language code for agariya.
agigising,NN,noun,"(anatomy) temple
the fine hairs on the temple
synonyms: dungandungan, tampihak"
agila,NN,noun,eagle
aginaldo,NN,noun,christmas present
agogoling,NN,noun,bumblebee
agtang,NN,noun,the forehead; the part of the face above the eyebrows and below the hairline
agwa,NN,noun,"water (only used in set expressions)
synonym: tubig"
agwatato,NN,noun,pimp
ahedres,NN,noun,"(dated) chess
synonym: tses"
ahensya,NN,noun,alternative form of ahensiya
ahiti,NN,noun,leek
ahos,NN,noun,"garlic (allium sativum); a plant related to the onion, having a pungent bulb much used in cooking
synonym: lasuna"
aihada,NN,noun,goddaughter
aihado,NN,noun,godson
akasya,NN,noun,acacia tree
ala-asawa,NN,noun,"concubine, mistress"
alabri,NN,noun,"a key, anything used for the purposes of opening something that is closed"
alagad,NN,noun,"but; however; yet
synonyms: pero, ugaring"
alagaran,NN,noun,third-person plural pluperfect indicative of alagar
alam,NN,noun,"inferior, something or someone that is of a lower standing"
alanyon,NN,noun,crop
alang-ang,NN,noun,trivial cold; slight fever
alasohan,NN,noun,chimney
alat,NN,noun,nonstandard form of halat
alaypan,NN,noun,"asylum, nursery"
alaypan hayop,NN,noun,zoo
algodon,NN,noun,"cotton
synonym: gapas"
alhebra,NN,noun,algebra
alibakaw,NN,noun,betel nut
alibangbang,NN,noun,"(naga) dragonfly
synonym: atibagros"
aligi,NN,noun,crab fat
alimokon,NN,noun,pigeon
alimosan,NN,noun,mudskipper
alimpulos,NN,noun,a whirlwind; a tornado; a dust devil; a waterspout
aliwatan,NN,noun,wrist
alkansiya,NN,noun,piggy bank
alkitran,NN,noun,pitch
almanaki,NN,noun,"almanac, calendar"
almidon,NN,noun,starch
almohada,NN,noun,"cushion, pillow"
almohadon,NN,noun,a large cushion or pillow
almon,NN,noun,nowhere
almoranas,NN,noun,(pathology) hemorrhoid
alom,NN,noun,"a tree, melanolepsis multiglandulosa"
aloy,NN,noun,termite
alpombra,NN,noun,"carpet
synonym: karpet"
alugbati,NN,noun,the malabar spinach (basella alba)
aluntaga,NN,noun,the rung or step of a ladder
amapola,NN,noun,a poppy; any plant of the genus papaver
amay,NN,noun,"(transitive and intransitive, obsolete) to dismay; confound; be dismayed"
amba sang pispis,NN,noun,warbler
ambahan,NN,noun,"chanted verse, characterized by the use of seven-foot lines; by conspicuous lack of loanwords (from spanish, tagalog, or hiligaynon); by many archaic hanunoo terms; and by being sung always without instrumental accompaniment"
ambulansya,NN,noun,ambulance
ami,NN,noun,(international standards) iso 639-3 language code for amis.
amidol,NN,noun,"the hydrochloride of the amino-phenol 2,4-diaminophenol, used as a photographic developer."
amihan,NN,noun,"north
synonym: norte"
aminhan,NN,noun,"north
synonym: norte"
amlig,NN,noun,"care, caution"
amo,NN,noun,(international standards) iso 639-3 language code for amo.
amorokpok,NN,noun,"meteorite, shooting star"
amoy,NN,noun,small monkey
ampis,NN,noun,the front part of a bahag
ampo,NN,noun,a javan snack food consisting of thin sticks of baked earth.
amumuklid,NN,noun,toadstool
amyon,NN,noun,"fragrance, scent, smell"
anak,NN,noun,"marks the topic of the clause, sentence, or conversation.
1905, john bachelor, an ainu-english-japanese dictionary (including a grammar of the ainu language):meko anak ne chikap ehopiye, ""the cat sprang upon the bird."""
anak nga babae,NN,noun,daughter
anak-anak,NN,noun,an adoptee; an adopted son or daughter
anay,NN,noun,bandicoot
andamio,NN,noun,"scaffold
synonym: estada"
anekdota,NN,noun,joke
anhel,NN,noun,"yearning, desire
synonyms: deler, desig"
anila,NN,noun,beehive
aninipot,NN,noun,firefly
ankla,NN,noun,anchor
