Word,Part of speech,affixation,meaning,example,English example,source
doble,noun,,first/third-person singular present subjunctive of doblar,,,https://en.wiktionary.org/wiki/doble
dogwak,noun,,"(animals): crane, heron",,,https://en.wiktionary.org/wiki/dogwak
dokumento,noun,,document,,,https://en.wiktionary.org/wiki/dokumento
dool,noun,,"inflection of dolen:
first-person singular present indicative
(in case of inversion) second-person singular present indicative
imperative",,,https://en.wiktionary.org/wiki/dool
dorado,noun,,"A mahi-mahi or dolphinfish (Coryphaena hippurus), fish with a dorsal fin that runs the length of the body, also known for iridescent coloration.",,,https://en.wiktionary.org/wiki/dorado
dosena,noun,,"dozen
year unknown, Cecile Motus, Hiligaynon Lessons, Рипол Классик (→ISBN), page 214
Nagapatindug sang taytay ang manga tawu sang Kinahanglan sang enhenyero  kwarenta y singko ka bilug nga kahuy para sa Ang dosena sang bulak tag PO.60.  presyong Pl.15 ang duha ka dosena. Imelda sang apat ka dosena. Mabakal ...",,,https://en.wiktionary.org/wiki/dosena
dosis,noun,,dose,,,https://en.wiktionary.org/wiki/dosis
dotol,noun,,(animals): tick,,,https://en.wiktionary.org/wiki/dotol
dotol-dotol,noun,,diminutive of dotól: anything resembling a tick,,,https://en.wiktionary.org/wiki/dotol-dotol
duag,noun,,stave,,,https://en.wiktionary.org/wiki/duag
duaw,noun,,"to visit
Synonym: bisita",,,https://en.wiktionary.org/wiki/duaw
dugang,noun,,"(formal) addition; act of adding something
Synonym: dagdag",,,https://en.wiktionary.org/wiki/dugang
dughan,noun,,(anatomy) the chest; the breast; the thorax; the bosom,,,https://en.wiktionary.org/wiki/dughan
dugo,noun,,blood,,,https://en.wiktionary.org/wiki/dugo
dugos,noun,,"honeycomb
Synonym: anira",,,https://en.wiktionary.org/wiki/dugos
dugus,noun,,the best part of a thing,,,https://en.wiktionary.org/wiki/dugus
dugwak,noun,,the purple heron (Ardea purpurea),,,https://en.wiktionary.org/wiki/dugwak
duha-duha,noun,,by pairs; two by two; two at a time,,,https://en.wiktionary.org/wiki/duha-duha
duko,noun,,"stoop, act of bending over",,,https://en.wiktionary.org/wiki/duko
dul-ay,noun,,a lump of earth or dirt,,,https://en.wiktionary.org/wiki/dul-ay
dulang,noun,,"wood-carved basin; washbowl
Synonym: batya",,,https://en.wiktionary.org/wiki/dulang
dulangan,noun,,mine,,,https://en.wiktionary.org/wiki/dulangan
dulat,noun,,"awl, brad",,,https://en.wiktionary.org/wiki/dulat
dulis,noun,,meteorite,,,https://en.wiktionary.org/wiki/dulis
dulog,noun,,to sleep with; to cosleep,,,https://en.wiktionary.org/wiki/dulog
dulogan,noun,,stationary,,,https://en.wiktionary.org/wiki/dulogan
dulonan,noun,,"border, boundary, demarcation",,,https://en.wiktionary.org/wiki/dulonan
dulongan,noun,,parking,,,https://en.wiktionary.org/wiki/dulongan
dulot,noun,,"gift, present
Synonyms: regalo, premiyo, atang",,,https://en.wiktionary.org/wiki/dulot
dulud,noun,,shin,,,https://en.wiktionary.org/wiki/dulud
dulugokan,noun,,attraction,,,https://en.wiktionary.org/wiki/dulugokan
dulukdokan,noun,,grinder,,,https://en.wiktionary.org/wiki/dulukdokan
dulum,noun,,darkness; gloom,,,https://en.wiktionary.org/wiki/dulum
dulunggan,noun,,ear,,,https://en.wiktionary.org/wiki/dulunggan
dulus,noun,,"potter
Synonym: dulusçu
dulus dəzgahı/çarxı ― potter's wheel
dulus kürəsi ― pottery kiln",,,https://en.wiktionary.org/wiki/dulus
dumalagan,noun,,runaway,,,https://en.wiktionary.org/wiki/dumalagan
dumalagsa,noun,,emigrant,,,https://en.wiktionary.org/wiki/dumalagsa
dumalahan,noun,,"engineer, executive",,,https://en.wiktionary.org/wiki/dumalahan
dumot,noun,,"hatred, indignation, rage",,,https://en.wiktionary.org/wiki/dumot
dumuluaw,noun,,"guest, visitor",,,https://en.wiktionary.org/wiki/dumuluaw
dumulugok,noun,,audience,,,https://en.wiktionary.org/wiki/dumulugok
dumuluong,noun,,"alien, foreigner, stranger",,,https://en.wiktionary.org/wiki/dumuluong
dunang manggad,noun,,natural resources,,,https://en.wiktionary.org/wiki/dunang_manggad
dunkul,noun,,firewood,,,https://en.wiktionary.org/wiki/dunkul
dungan,noun,,"simultaneous; coinciding
Synonym: sabay-sabay",,,https://en.wiktionary.org/wiki/dungan
dungandungan,noun,,temple,,,https://en.wiktionary.org/wiki/dungandungan
dungdung,noun,,(idiomatic) to rain cats and dogs,,,https://en.wiktionary.org/wiki/dungdung
dungganon,noun,,"bigwig, celebrity, noble, royal",,,https://en.wiktionary.org/wiki/dungganon
dungkaan,noun,,"harbor; haven; port, wharf
Synonyms: dulungkaan, dulungan",,,https://en.wiktionary.org/wiki/dungkaan
dungkul,noun,,"firewood, log",,,https://en.wiktionary.org/wiki/dungkul
dungog,noun,,to hear,,,https://en.wiktionary.org/wiki/dungog
duog,noun,,"place, site
Synonym: lugar",,,https://en.wiktionary.org/wiki/duog
dupak,noun,,"dirty, foul, obscene, smutty",,,https://en.wiktionary.org/wiki/dupak
dupla,noun,,A form of bell used in some medieval clocks.[1][2],,,https://en.wiktionary.org/wiki/dupla
duplikado,noun,,duplicate,,,https://en.wiktionary.org/wiki/duplikado
dupoy,noun,,breeze,,,https://en.wiktionary.org/wiki/dupoy
duta,noun,,Clipping of dutasteride,,,https://en.wiktionary.org/wiki/duta
dutang panublion,noun,,patrimony,,,https://en.wiktionary.org/wiki/dutang_panublion
duyan,noun,,cradle,,,https://en.wiktionary.org/wiki/duyan
duyog,noun,,to provide musical accompaniment,,,https://en.wiktionary.org/wiki/duyog
duyong,noun,,a dugong,,,https://en.wiktionary.org/wiki/duyong
dyanitor,noun,,janitor,,,https://en.wiktionary.org/wiki/dyanitor
ebanhelyo,noun,,archaic form of ebanghelyo,,,https://en.wiktionary.org/wiki/ebanhelyo
ebanghelyo,noun,,gospel,,,https://en.wiktionary.org/wiki/ebanghelyo
edad,noun,,"age
Ano na an edad mo? ― How old are you now? (What is your age now?)",,,https://en.wiktionary.org/wiki/edad
edukasyon,noun,,"education
Synonyms: nanudan, naukdan",,,https://en.wiktionary.org/wiki/edukasyon
ehemplo,noun,,"example
Synonym: halimbawa",,,https://en.wiktionary.org/wiki/ehemplo
ehersisyo,noun,,an exercise; a physical activity intended to improve strength and fitness,,,https://en.wiktionary.org/wiki/ehersisyo
eklipse,noun,,"(astronomy) eclipse
Synonyms: kulop, pagkulop",,,https://en.wiktionary.org/wiki/eklipse
eksamen,noun,,"examination, exam (formal test)",,,https://en.wiktionary.org/wiki/eksamen
eleksyon,noun,,"election
Synonym: piniliay",,,https://en.wiktionary.org/wiki/eleksyon
elektrisidad,noun,,"electricity
Synonym: koriyente",,,https://en.wiktionary.org/wiki/elektrisidad
elepante,noun,,"elephant
Synonym: gadya",,,https://en.wiktionary.org/wiki/elepante
embahada,noun,,embassy,,,https://en.wiktionary.org/wiki/embahada
embahador,noun,,ambassador,,,https://en.wiktionary.org/wiki/embahador
embudo,noun,,funnel,,,https://en.wiktionary.org/wiki/embudo
empeine,noun,,herpes,,,https://en.wiktionary.org/wiki/empeine
emperador,noun,,emperor (ruler of an empire),,,https://en.wiktionary.org/wiki/emperador
enpermera,noun,,attendant,,,https://en.wiktionary.org/wiki/enpermera
entablado,noun,,(theater) stage,,,https://en.wiktionary.org/wiki/entablado
esensya,noun,,"essence; extract, tincture",,,https://en.wiktionary.org/wiki/esensya
eskandalo,noun,,scandal,,,https://en.wiktionary.org/wiki/eskandalo
eskoba,noun,,brush,,,https://en.wiktionary.org/wiki/eskoba
eskultor,noun,,sculptor,,,https://en.wiktionary.org/wiki/eskultor
eskuwela,noun,,school; learning institute,,,https://en.wiktionary.org/wiki/eskuwela
eskwala,noun,,(carpentry) square,,,https://en.wiktionary.org/wiki/eskwala
Espanya,noun,,"Spain (a country in Southern Europe, including most of the Iberian peninsula)",,,https://en.wiktionary.org/wiki/Espanya
espeho,noun,,"(dated or dialectal) mirror
Synonym: salming",,,https://en.wiktionary.org/wiki/espeho
espiritu,noun,,spirit,,,https://en.wiktionary.org/wiki/espiritu
estudyante,noun,,alternative spelling of estudiyante,,,https://en.wiktionary.org/wiki/estudyante
frankiyo,noun,,postage,,,https://en.wiktionary.org/wiki/frankiyo
fresa,noun,,strawberry (fruit),,,https://en.wiktionary.org/wiki/fresa
fuersa,noun,,"force, strength, vigor",,,https://en.wiktionary.org/wiki/fuersa
gab-e,noun,,night,,,https://en.wiktionary.org/wiki/gab-e
gab-i,noun,,evening; night,,,https://en.wiktionary.org/wiki/gab-i
gabi,noun,,"Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.",,,https://en.wiktionary.org/wiki/gabi
gabon,noun,,good night,,,https://en.wiktionary.org/wiki/gabon
gahud,noun,,"clatter, noise",,,https://en.wiktionary.org/wiki/gahud
gal-um,noun,,raincloud,,,https://en.wiktionary.org/wiki/gal-um
galab,noun,,body,,,https://en.wiktionary.org/wiki/galab
galingan,noun,,grinder,,,https://en.wiktionary.org/wiki/galingan
galyetas,noun,,"cracker, hardtack, biscuit",,,https://en.wiktionary.org/wiki/galyetas
gamhon,noun,,(botany) weed,,,https://en.wiktionary.org/wiki/gamhon
gamo,noun,,spoiled,,,https://en.wiktionary.org/wiki/gamo
gamosa,noun,,"A rectangular cloth, typically of red and white, used in a variety of ritual actions in Assamese culture.
2011, Arupa Patangia Kalita, translated by Deepika Phukan, The Story of Felanee:Mamoni's father was suggesting that both houses should fly an Assamese gamosa like a flag and Moni's father wouldn't hear of it.",,,https://en.wiktionary.org/wiki/gamosa
gamot,noun,,root,,,https://en.wiktionary.org/wiki/gamot
gana,noun,,"inflection of ganar:
third-person singular present indicative
second-person singular imperative",,,https://en.wiktionary.org/wiki/gana
ganhaan,noun,,door,,,https://en.wiktionary.org/wiki/ganhaan
gansa,noun,,Alternative form of ganza (“kind of wild goose”).,,,https://en.wiktionary.org/wiki/gansa
gansilyo,noun,,alternative form of gantsilyo,,,https://en.wiktionary.org/wiki/gansilyo
ganso,noun,,"goose
Synonym: gangsa",,,https://en.wiktionary.org/wiki/ganso
garahe,noun,,garage,,,https://en.wiktionary.org/wiki/garahe
garapata,noun,,"(US) A kind of wood tick.
1873, United States. Navy Department, Annual Reports of the Navy Department, page 188:[…]  principally among the former were the garapatas, a vicious species of wood-tick, which swarm almost every leaf and plant growing near the ground  […]
1890, Thomas Wallace Knox, The Boy Travellers in Mexico, page 508:One of the worst annoyances of their visit to Uxmal was that whenever they moved about they became covered with garapatas. The garapata is a tick so small that it is hardly perceptible to the naked eye, but it is capable of making a bite or sting like that of a red ant or a hot needle.",,,https://en.wiktionary.org/wiki/garapata
garbanso,noun,,"chickpea, garbanzo",,,https://en.wiktionary.org/wiki/garbanso
garuk,noun,,filth,,,https://en.wiktionary.org/wiki/garuk
gasolina,noun,,"gasoline, petrol (motor fuel)",,,https://en.wiktionary.org/wiki/gasolina
gata,noun,,A kind of pastry in Armenia and some neighboring countries.,,,https://en.wiktionary.org/wiki/gata
gatas,noun,,plural of gata,,,https://en.wiktionary.org/wiki/gatas
gatong,noun,,firewood; fuel,,,https://en.wiktionary.org/wiki/gatong
gawahan,noun,,window,,,https://en.wiktionary.org/wiki/gawahan
gawgaw,noun,,starch,,,https://en.wiktionary.org/wiki/gawgaw
gawi,noun,,female,,,https://en.wiktionary.org/wiki/gawi
gesantes,noun,,"snow pea, sugar snap pea",,,https://en.wiktionary.org/wiki/gesantes
gia,noun,,(international standards) ISO 639-3 language code for Kitja.,,,https://en.wiktionary.org/wiki/gia
gibungan,noun,,the junction of two or more rivers,,,https://en.wiktionary.org/wiki/gibungan
gibwangan,noun,,the junction of two or more rivers,,,https://en.wiktionary.org/wiki/gibwangan
gikan,noun,,"(formal) from
Synonym: hali",,,https://en.wiktionary.org/wiki/gikan
ginagihan,noun,,incidents and events that happen to a person during their life,,,https://en.wiktionary.org/wiki/ginagihan
ginharian,noun,,"domain; empire; kingdom; monarchy; realm; sovereignty
Synonym: dakhari",,,https://en.wiktionary.org/wiki/ginharian
ginhawa,noun,,to breathe,,,https://en.wiktionary.org/wiki/ginhawa
ginhawaan,noun,,"trachea, windpipe",,,https://en.wiktionary.org/wiki/ginhawaan
ginikanan,noun,,"(formal) origin
Synonym: pinanghalian",,,https://en.wiktionary.org/wiki/ginikanan
ginoo,noun,,deity; god,,,https://en.wiktionary.org/wiki/ginoo
ginsakpan,noun,,"realm, dominion",,,https://en.wiktionary.org/wiki/ginsakpan
gintung-an,noun,,"center, middle, midpoint",,,https://en.wiktionary.org/wiki/gintung-an
ginuo,noun,,sir,,,https://en.wiktionary.org/wiki/ginuo
ginutlan,noun,,"interlude, interval",,,https://en.wiktionary.org/wiki/ginutlan
ginggon,noun,,gingham,,,https://en.wiktionary.org/wiki/ginggon
gingikanan,noun,,"beginning, commencement, lineage, origin, root, source, start",,,https://en.wiktionary.org/wiki/gingikanan
gisi,noun,,my brother,,,https://en.wiktionary.org/wiki/gisi
giwa-os,noun,,"dearth of food, famine, misery",,,https://en.wiktionary.org/wiki/giwa-os
giwaos,noun,,alternative spelling of giwá-os,,,https://en.wiktionary.org/wiki/giwaos
gora,noun,,(South Asia) Pertaining to a fair-skinned or European person. [from 19th c.],,,https://en.wiktionary.org/wiki/gora
grasya,noun,,alternative spelling of grasiya,,,https://en.wiktionary.org/wiki/grasya
gratipikasyon,noun,,"gratuity, reward, tip, (gratuity, reward)",,,https://en.wiktionary.org/wiki/gratipikasyon
gripo,noun,,faucet; tap; spigot,,,https://en.wiktionary.org/wiki/gripo
grumete,noun,,crew,,,https://en.wiktionary.org/wiki/grumete
guban,noun,,"brigade, group, throng",,,https://en.wiktionary.org/wiki/guban
gulang,noun,,"mature (fruits)
Antonym: linghod",,,https://en.wiktionary.org/wiki/gulang
guluwaan,noun,,"exit, escape, egress",,,https://en.wiktionary.org/wiki/guluwaan
gumulua,noun,,cast,,,https://en.wiktionary.org/wiki/gumulua
gunting,noun,,scissors,,,https://en.wiktionary.org/wiki/gunting
guray,noun,,"streak, stripe",,,https://en.wiktionary.org/wiki/guray
guray-guray,noun,,stripe,,,https://en.wiktionary.org/wiki/guray-guray
gusok,noun,,(anatomy) rib,,,https://en.wiktionary.org/wiki/gusok
gutom,noun,,"hungry; famished
Synonym: punaw
Coordinate term: paha
Gutom na an bisita.The visitor is already hungry.",,,https://en.wiktionary.org/wiki/gutom
guya,noun,,"allegedly, supposedly; as if
Niyə soruşursan? Guya cavabını özün bilmirsən.Why are you asking? As if you don't know the answer yourself.
Sevmədiyi bir nəfər öləndə, yalandan ağladı, guya qanı qaralmışdı.When someone s/he didn't like died, s/he fake-cried, as if s/he were sad.",,,https://en.wiktionary.org/wiki/guya
guyum,noun,,"ant, (various, species)",,,https://en.wiktionary.org/wiki/guyum
gwantes,noun,,gloves,,,https://en.wiktionary.org/wiki/gwantes
gwardya,noun,,alternative form of guwardiya,,,https://en.wiktionary.org/wiki/gwardya
habagat,noun,,"south
Synonym: sur",,,https://en.wiktionary.org/wiki/habagat
habol,noun,,weave of cloth,,,https://en.wiktionary.org/wiki/habol
habon,noun,,soap,,,https://en.wiktionary.org/wiki/habon
habul,noun,,blanket,,,https://en.wiktionary.org/wiki/habul
habyog,noun,,a sweet cloudy drink made from fermented sugar palm sap,,,https://en.wiktionary.org/wiki/habyog
hadlok,noun,,"to fear, to dread",,,https://en.wiktionary.org/wiki/hadlok
hagdanan,noun,,"(dialectal, Daet) alternative form of hagyanan",,,https://en.wiktionary.org/wiki/hagdanan
hagna,noun,,"motion, proposal",,,https://en.wiktionary.org/wiki/hagna
hagunghung,noun,,a rumbling sound,,,https://en.wiktionary.org/wiki/hagunghung
hagurot,noun,,flash,,,https://en.wiktionary.org/wiki/hagurot
haklu,noun,,breathe,,,https://en.wiktionary.org/wiki/haklu
hakuhaku,noun,,haste,,,https://en.wiktionary.org/wiki/hakuhaku
hal-o,noun,,pestle,,,https://en.wiktionary.org/wiki/hal-o
hal-u,noun,,pestle,,,https://en.wiktionary.org/wiki/hal-u
halalban,noun,,"meadow, pasture",,,https://en.wiktionary.org/wiki/halalban
halalongan,noun,,"delicate, precaution",,,https://en.wiktionary.org/wiki/halalongan
halaran,noun,,third-person plural future indicative of halar,,,https://en.wiktionary.org/wiki/halaran
halas,noun,,plural of hala,,,https://en.wiktionary.org/wiki/halas
halea,noun,,jelly,,,https://en.wiktionary.org/wiki/halea
haligi,noun,,column; pillar; post,,,https://en.wiktionary.org/wiki/haligi
halimbawa,noun,,"for example; for instance
Synonym: por ehemplo",,,https://en.wiktionary.org/wiki/halimbawa
halintang,noun,,"degree, grade",,,https://en.wiktionary.org/wiki/halintang
haloan,noun,,a mudfish,,,https://en.wiktionary.org/wiki/haloan
halon,noun,,"(organic chemistry) A hydrocarbon (more precisely haloalkane) in which one or more hydrogen atoms have been replaced by halogens
Synonym: haloalkane
2009 February 12, Azadeh Ensha, “A Cellphone That Is Made With the Environment in Mind”, in New York Times‎[1]:The Renew is also free of polyvinyl chloride, asbestos, chlorofluorocarbons and halons.",,,https://en.wiktionary.org/wiki/halon
haluk,noun,,kiss,,,https://en.wiktionary.org/wiki/haluk
hamon,noun,,"A wavy line found on steel products that have been hardened differentially, with soft and hard steel sections, where the tempered steel is separated from the softer parts by the hamon.",,,https://en.wiktionary.org/wiki/hamon
hamot,noun,,"aroma; fragrance
Antonyms: bata, bangog",,,https://en.wiktionary.org/wiki/hamot
hampang,noun,,"opposite
Synonym: timbang",,,https://en.wiktionary.org/wiki/hampang
hampangan,noun,,"instance of being across from, opposite of one another",,,https://en.wiktionary.org/wiki/hampangan
hanluk,noun,,alternative spelling of hánlug,,,https://en.wiktionary.org/wiki/hanluk
hangaway,noun,,"martial, warlike",,,https://en.wiktionary.org/wiki/hangaway
hangga,noun,,(pathology) chickenpox; varicella,,,https://en.wiktionary.org/wiki/hangga
hangin,noun,,wind (movement of air),,,https://en.wiktionary.org/wiki/hangin
hanginero,noun,,"windbag; braggart
Synonym: hanginon",,,https://en.wiktionary.org/wiki/hanginero
hapon,noun,,afternoon,,,https://en.wiktionary.org/wiki/hapon
haroan,noun,,a mudfish,,,https://en.wiktionary.org/wiki/haroan
harupot,noun,,"breeze
Synonym: huyuhoy",,,https://en.wiktionary.org/wiki/harupot
hawak,noun,,"(anatomy) body; torso
Synonym: lawas",,,https://en.wiktionary.org/wiki/hawak
hikab,noun,,"(pathology) asthma
Synonym: usang",,,https://en.wiktionary.org/wiki/hikab
hilanat,noun,,"fever
Synonym: kalentura",,,https://en.wiktionary.org/wiki/hilanat
hima,noun,,clam,,,https://en.wiktionary.org/wiki/hima
himatayon,noun,,"dying; about to die
Synonym: himalatyon",,,https://en.wiktionary.org/wiki/himatayon
himaya,noun,,glory; worship or praise,,,https://en.wiktionary.org/wiki/himaya
hinablos,noun,,nephew ; niece,,,https://en.wiktionary.org/wiki/hinablos
hinakay,noun,,"a charge, fare, or fee",,,https://en.wiktionary.org/wiki/hinakay
hinalabuab,noun,,offspring,,,https://en.wiktionary.org/wiki/hinalabuab
hinambalan,noun,,promise,,,https://en.wiktionary.org/wiki/hinambalan
hinugyaw,noun,,excitement,,,https://en.wiktionary.org/wiki/hinugyaw
hingabot,noun,,lust,,,https://en.wiktionary.org/wiki/hingabot
hinganiban,noun,,"(obsolete) any weapon, defensive or offensive
Synonyms: hinagiban, armas",,,https://en.wiktionary.org/wiki/hinganiban
hingudto,noun,,the sun's zenith; midday,,,https://en.wiktionary.org/wiki/hingudto
hinguyang,noun,,expense,,,https://en.wiktionary.org/wiki/hinguyang
hiphip,noun,,bribe,,,https://en.wiktionary.org/wiki/hiphip
hiwit,noun,,"a bewitchment, charm, or spell",,,https://en.wiktionary.org/wiki/hiwit
hiyas,noun,,jewel,,,https://en.wiktionary.org/wiki/hiyas
hoyohoy,noun,,alternative spelling of huyuhoy,,,https://en.wiktionary.org/wiki/hoyohoy
huad,noun,,something that is counterfeit or facsimile,,,https://en.wiktionary.org/wiki/huad
huaran,noun,,example,,,https://en.wiktionary.org/wiki/huaran
hulip,noun,,to replace; to take the place of; to supply the want of; to fulfill the end or office of,,,https://en.wiktionary.org/wiki/hulip
hulonan,noun,,roost,,,https://en.wiktionary.org/wiki/hulonan
hulugpaan,noun,,"airport
Hulugpaan sang Roxas
Roxas Airport",,,https://en.wiktionary.org/wiki/hulugpaan
hulusayon,noun,,question,,,https://en.wiktionary.org/wiki/hulusayon
humbak,noun,,wake; the path left behind a ship on the surface of the water,,,https://en.wiktionary.org/wiki/humbak
hupa,noun,,quickly diminishing,,,https://en.wiktionary.org/wiki/hupa
husay,noun,,"neat, well-arranged
Synonym: pakarhay",,,https://en.wiktionary.org/wiki/husay
hutik,noun,,whisper,,,https://en.wiktionary.org/wiki/hutik
huyuhoy,noun,,"(uncommon) breeze
Synonyms: hayahay, paros",,,https://en.wiktionary.org/wiki/huyuhoy
idalum,noun,,underneath; beneath; below,,,https://en.wiktionary.org/wiki/idalum
ignorante,noun,,"ignorant
Synonym: mangmang",,,https://en.wiktionary.org/wiki/ignorante
ihi,noun,,(international standards) ISO 639-3 language code for Ihievbe.,,,https://en.wiktionary.org/wiki/ihi
ikog,noun,,tail,,,https://en.wiktionary.org/wiki/ikog
ilaga,noun,,rat (medium-sized rodent of Genus Rattus),,,https://en.wiktionary.org/wiki/ilaga
ilisan,noun,,dressing room where someone changes clothing,,,https://en.wiktionary.org/wiki/ilisan
ilo,noun,,(international standards) ISO 639-2 & ISO 639-3 language code for Ilocano.,,,https://en.wiktionary.org/wiki/ilo
ilok,noun,,(anatomy) armpit,,,https://en.wiktionary.org/wiki/ilok
ilong,noun,,nose,,,https://en.wiktionary.org/wiki/ilong
init,noun,,"(computing) Clipping of initialization.
After the sixth successive system init he had to concede that the database was corrupt.",,,https://en.wiktionary.org/wiki/init
inpierno,noun,,hell,,,https://en.wiktionary.org/wiki/inpierno
ingol,noun,,"scarcity, dearth",,,https://en.wiktionary.org/wiki/ingol
ipot-ipot,noun,,firefly,,,https://en.wiktionary.org/wiki/ipot-ipot
isa,noun,,(international standards) ISO 639-3 language code for Isabi.,,,https://en.wiktionary.org/wiki/isa
isda,noun,,"(Daet) fish
Synonym: sira",,,https://en.wiktionary.org/wiki/isda
itom,noun,,black (color/colour),,,https://en.wiktionary.org/wiki/itom
iyot,noun,,"(vulgar) coitus; sexual intercourse
Synonyms: habal, kayat, hilawas, jerjer, torjak",,,https://en.wiktionary.org/wiki/iyot
kaagahon,noun,,dawn,,,https://en.wiktionary.org/wiki/kaagahon
kaambong,noun,,handsomeness,,,https://en.wiktionary.org/wiki/kaambong
kaaway,noun,,enemy; foe,,,https://en.wiktionary.org/wiki/kaaway
kabakahan,noun,,cattle,,,https://en.wiktionary.org/wiki/kabakahan
kabalyero,noun,,peacock flower (Caesalpinia pulcherrima),,,https://en.wiktionary.org/wiki/kabalyero
kabanyagaan,noun,,"mean, malicious, vile, wicked",,,https://en.wiktionary.org/wiki/kabanyagaan
kabangisan,noun,,"violence; cruelty; wickedness
Synonyms: kaisogan, kakurihan, karingisan",,,https://en.wiktionary.org/wiki/kabangisan
kabayo,noun,,horse,,,https://en.wiktionary.org/wiki/kabayo
kabesera,noun,,head of the table,,,https://en.wiktionary.org/wiki/kabesera
kabuang,noun,,madness; insanity,,,https://en.wiktionary.org/wiki/kabuang
kabugaw,noun,,the Kaffir lime (Citrus hystrix),,,https://en.wiktionary.org/wiki/kabugaw
kabuhi,noun,,"an illness characterized by dizziness, nausea, chills and symptoms similar to hyperacidity, gripes, heartburn and gastroesophageal reflux disease",,,https://en.wiktionary.org/wiki/kabuhi
kabulig,noun,,"assistant, helper
Synonym: katabang",,,https://en.wiktionary.org/wiki/kabulig
kadak-an,noun,,hall,,,https://en.wiktionary.org/wiki/kadak-an
kadalag-an,noun,,success,,,https://en.wiktionary.org/wiki/kadalag-an
kadang,noun,,"stilts
Nagalakát silá sa kádang.They are walking on stilts.",,,https://en.wiktionary.org/wiki/kadang
kadugay,noun,,duration,,,https://en.wiktionary.org/wiki/kadugay
kadumot,noun,,"hatred, grudge
Antonym: higugma",,,https://en.wiktionary.org/wiki/kadumot
kadumut,noun,,alternative spelling of kadumot,,,https://en.wiktionary.org/wiki/kadumut
kagab-i,noun,,last night,,,https://en.wiktionary.org/wiki/kagab-i
kagagmayan,noun,,the poor or uninfluential members of a community,,,https://en.wiktionary.org/wiki/kagagmayan
kagaw,noun,,scratching (relief for an itch),,,https://en.wiktionary.org/wiki/kagaw
kagayonan,noun,,"beauty; splendor
Synonym: kadahoman",,,https://en.wiktionary.org/wiki/kagayonan
kagulangan,noun,,old-growth forest,,,https://en.wiktionary.org/wiki/kagulangan
kahas,noun,,daringness,,,https://en.wiktionary.org/wiki/kahas
kahikaw,noun,,"envy, spite",,,https://en.wiktionary.org/wiki/kahikaw
kahilwayan,noun,,"freedom; liberty
Synonym: kaluasan",,,https://en.wiktionary.org/wiki/kahilwayan
kahinguyangan,noun,,"expenditure, waste",,,https://en.wiktionary.org/wiki/kahinguyangan
kahoy,noun,,tree; wood,,,https://en.wiktionary.org/wiki/kahoy
kahubug,noun,,drunkenness; intoxication; inebriation,,,https://en.wiktionary.org/wiki/kahubug
kaisug,noun,,courage,,,https://en.wiktionary.org/wiki/kaisug
kalabasa,noun,,squash,,,https://en.wiktionary.org/wiki/kalabasa
kaladlawan,noun,,comic,,,https://en.wiktionary.org/wiki/kaladlawan
kalag,noun,,"a ghost; a spirit; a soul
Synonyms: espiritu, multo",,,https://en.wiktionary.org/wiki/kalag
kalagday,noun,,"gentleness, tenderness",,,https://en.wiktionary.org/wiki/kalagday
kalaglagan,noun,,"destruction, perdition, ruin",,,https://en.wiktionary.org/wiki/kalaglagan
kalamunding,noun,,calamondin,,,https://en.wiktionary.org/wiki/kalamunding
kalan-on,noun,,"food, especially rice",,,https://en.wiktionary.org/wiki/kalan-on
kalayo,noun,,"fire; flame
Synonym: laad",,,https://en.wiktionary.org/wiki/kalayo
kaldera,noun,,caldera,,,https://en.wiktionary.org/wiki/kaldera
kalibutan,noun,,world,,,https://en.wiktionary.org/wiki/kalibutan
kalipay,noun,,happiness,,,https://en.wiktionary.org/wiki/kalipay
kalis,noun,,A Filipino sword akin to the kris.,,,https://en.wiktionary.org/wiki/kalis
kalisang,noun,,"horror, terror",,,https://en.wiktionary.org/wiki/kalisang
kalooy,noun,,"mercy
Synonym: awa",,,https://en.wiktionary.org/wiki/kalooy
kalsada,noun,,"road; street
Synonym: dalan",,,https://en.wiktionary.org/wiki/kalsada
kamalig,noun,,"hut
Synonyms: payag-payag, lungalong, balayan",,,https://en.wiktionary.org/wiki/kamalig
kamatayon,noun,,"death
Antonym: kinabuhi",,,https://en.wiktionary.org/wiki/kamatayon
kamatis,noun,,tomato,,,https://en.wiktionary.org/wiki/kamatis
kamatuoran,noun,,truth; veracity,,,https://en.wiktionary.org/wiki/kamatuoran
kampana,noun,,"large bell
Synonym: bagtingan",,,https://en.wiktionary.org/wiki/kampana
kan-on,noun,,boiled rice; cooked rice,,,https://en.wiktionary.org/wiki/kan-on
kanding,noun,,goat,,,https://en.wiktionary.org/wiki/kanding
kapanganuran,noun,,the clouds,,,https://en.wiktionary.org/wiki/kapanganuran
kapatid,noun,,sibling,,,https://en.wiktionary.org/wiki/kapatid
kapatol,noun,,"strength, determination",,,https://en.wiktionary.org/wiki/kapatol
kapaul,noun,,"fatigue, weariness",,,https://en.wiktionary.org/wiki/kapaul
kapay,noun,,"crazy; insane
Synonyms: bua, loko, rungaw, lapong, lado, kablas",,,https://en.wiktionary.org/wiki/kapay
kape,noun,,(obsolete) Pronunciation spelling of keep.,,,https://en.wiktionary.org/wiki/kape
